"gene_id","symbol","WT_counts","WT_polya_median","ATX_counts","ATX_polya_median","length_diff","fold_change","p.value","padj","significance","stats_code","cohen_d","effect_size","baseMean"
"WBGene00001168","eef-1A.1",12044,56,4484,65,9,1.16071428571429,2.89516164632044e-103,1.61463165015291e-99,"Sig","OK",0.355959819565605,"small",8264
"WBGene00004481","rps-12",4609,46,2491,52,6,1.1304347826087,3.15757081388026e-28,8.80488621450509e-25,"Sig","OK",0.232296235049319,"small",3550
"WBGene00000231","atx-2",83,66,113,8,-58,0.121212121212121,2.31647986003776e-26,4.3063360598102e-23,"Sig","OK",-1.68336657034175,"large",98
"WBGene00006928","vit-4",3636,54,1349,47,-7,0.87037037037037,5.84442866730647e-25,8.14859466939205e-22,"Sig","OK",-0.301159491591588,"small",2492.5
"WBGene00004408","rla-0",5289,60,1934,68,8,1.13333333333333,1.40660281266113e-23,1.56892477724223e-20,"Sig","OK",0.207522416409556,"small",3611.5
"WBGene00006930","vit-6",5854,60,2162,55,-5,0.916666666666667,4.77032311252302e-20,4.43401533309015e-17,"Sig","OK",-0.192856748891826,"negligible",4008
"WBGene00006929","vit-5",4326,60,1886,54,-6,0.9,7.79848196556521e-20,6.21316198885102e-17,"Sig","OK",-0.198793998086697,"negligible",3106
"WBGene00010965","ctc-2",4612,35,1715,33,-2,0.942857142857143,9.10353875936892e-20,6.34630445762506e-17,"Sig","OK",-0.0978163287705926,"negligible",3163.5
"WBGene00009119","ndk-1",2915,58,1026,67,9,1.1551724137931,6.56711442815113e-19,4.06942190731098e-16,"Sig","OK",0.304598569537506,"small",1970.5
"WBGene00006926","vit-2",5362,68,1860,62,-6,0.911764705882353,1.15852459106084e-18,6.46109164434628e-16,"Sig","OK",-0.200976394362086,"small",3611
"WBGene00006927","vit-3",3617,58,1419,52,-6,0.896551724137931,1.41628076604184e-18,7.18054348383213e-16,"Sig","OK",-0.214363807746478,"small",2518
"WBGene00000754","col-181",1607,54,529,42,-12,0.777777777777778,2.26839842390898e-18,1.0542381675117e-15,"Sig","OK",-0.343417426470173,"small",1068
"WBGene00004409","rla-1",6189,46,2972,52,6,1.1304347826087,1.68393304701644e-17,7.22407277170051e-15,"Sig","OK",0.150257421377451,"negligible",4580.5
