"gene_id","symbol","N2_counts","N2_polya_median","TENT_counts","TENT_polya_median","length_diff","fold_change","p.value","padj","significance","stats_code","cohen_d","effect_size","baseMean"
"WBGene00002020","hsp-16.49",10942,38,1656,47,9,1.23684210526316,5.17882270534644e-30,5.44812148602446e-26,"Sig","OK",-0.480293508888004,"small",6299
"WBGene00002017","hsp-16.11",13048,36,1094,45.5,9.5,1.26388888888889,6.49080432034769e-29,3.41416307250289e-25,"Sig","OK",-0.55008333624946,"medium",7071
"WBGene00002019","hsp-16.48",10855,38,1671,46,8,1.21052631578947,7.97484185835603e-27,2.79651121166351e-23,"Sig","OK",-0.447717999999168,"small",6263
"WBGene00004486","rps-17",7954,46,5380,44,-2,0.956521739130435,2.1772226441506e-10,5.72609555411608e-07,"Sig","OK",0.0939133963910682,"negligible",6667
"WBGene00015340","C02E7.7",1899,50,2569,46,-4,0.92,4.14486126780904e-10,8.72078810747023e-07,"Sig","OK",0.117645981313273,"negligible",2234
"WBGene00012179","W01D2.1",4164,37,2638,35,-2,0.945945945945946,8.20439222583647e-08,0.000143850343692999,"Sig","OK",0.138024377806349,"negligible",3401
"WBGene00000691","col-117",513,43,578,36,-7,0.837209302325581,4.52676689606909e-07,0.000680308396380669,"Sig","OK",0.169616484425521,"negligible",545.5
"WBGene00000650","col-74",1958,52,1411,49,-3,0.942307692307692,1.03063178754246e-06,0.00103961516997644,"Sig","OK",0.116858741101759,"negligible",1684.5
"WBGene00018297","F41F3.3",4848,50,3848,48,-2,0.96,1.05748101522287e-06,0.00103961516997644,"Sig","OK",0.0871412203537409,"negligible",4348
"WBGene00002016","hsp-16.2",2783,39,281,48,9,1.23076923076923,9.55360948614926e-07,0.00103961516997644,"Sig","OK",-0.500109958255277,"medium",1532
"WBGene00004494","rps-25",15136,38,9388,37,-1,0.973684210526316,1.08705008267498e-06,0.00103961516997644,"Sig","OK",0.0441135825847412,"negligible",12262
"WBGene00004449","rpl-35",6725,41,3551,39,-2,0.951219512195122,1.61793626423325e-06,0.00141839079164449,"Sig","OK",0.0734269715954921,"negligible",5138
"WBGene00004435","rpl-23",7825,41,4601,40,-1,0.975609756097561,2.70843135659968e-06,0.00219174599010989,"Sig","OK",0.0823600237152384,"negligible",6213
"WBGene00019606","clec-88",728,47,353,41,-6,0.872340425531915,3.56385769973869e-06,0.00267798450008936,"Sig","OK",0.236083356841447,"small",540.5
"WBGene00012140","T28F4.5",364,41,254,56.5,15.5,1.3780487804878,5.25601800468585e-06,0.00368622062728635,"Sig","OK",-0.404329579100911,"small",309
"WBGene00012434","Y11D7A.10",708,49,484,58,9,1.18367346938776,9.64436821326004e-06,0.00634117210021847,"Sig","OK",-0.170118049173968,"negligible",596
"WBGene00009692","F44E5.5",1976,31,327,41,10,1.32258064516129,1.04332927673425e-05,0.00645636705367313,"Sig","OK",-0.41788291391349,"small",1151.5
"WBGene00009041","cut-3",1881,53,1495,49,-4,0.924528301886792,1.20596222915701e-05,0.00704817925040652,"Sig","OK",0.0923777168607181,"negligible",1688
"WBGene00002018","hsp-16.41",4956,35,702,38,3,1.08571428571429,2.22091761352511e-05,0.0122968701548864,"Sig","OK",-0.382162296145666,"small",2829
"WBGene00004448","rpl-34",6740,40,3770,38,-2,0.95,2.37062965119801e-05,0.0124695119653015,"Sig","OK",0.06513349266995,"negligible",5255
"WBGene00014030","glb-1",1142,49,1290,57,8,1.16326530612245,2.70188084992805e-05,0.013535136448211,"Sig","OK",-0.114565388708513,"negligible",1216
"WBGene00019537","K08D12.3",2100,31,1040,32,1,1.03225806451613,6.27960889171361e-05,0.0300279479731033,"Sig","OK",-0.134632887642377,"negligible",1570
"WBGene00000371","cox-5B",3854,40,2049,43,3,1.075,8.20461375449496e-05,0.0375271898683856,"Sig","OK",-0.14189610317869,"negligible",2951.5
"WBGene00010641","crml-1",89,59,18,114,55,1.93220338983051,9.70385486684512e-05,0.0425352304996711,"Sig","OK",-0.829442586927546,"large",53.5
"WBGene00001911","his-37",1298,37,899,43,6,1.16216216216216,0.000132535509162876,0.0536259060151328,"NotSig","OK",-0.157508520781213,"negligible",1098.5
"WBGene00004454","rpl-36.A",3950,42,2820,40,-2,0.952380952380952,0.000130606522020987,0.0536259060151328,"NotSig","OK",0.0949566760796179,"negligible",3385
"WBGene00010759","cysl-2",349,54,366,67.5,13.5,1.25,0.000164378769349501,0.0640468390206206,"NotSig","OK",-0.236808650263378,"small",357.5
"WBGene00018018","F33G12.6",69,37,42,90,53,2.43243243243243,0.000236897748731061,0.086577471495656,"NotSig","OK",-0.66284972925743,"medium",55.5
"WBGene00020425","syx-18",54,32,30,78.5,46.5,2.453125,0.000238664132450002,0.086577471495656,"NotSig","OK",-0.760730845519185,"medium",42
"WBGene00000738","col-165",1244,61,853,57,-4,0.934426229508197,0.000264313003604938,0.0914379784416625,"NotSig","OK",0.161477129033192,"negligible",1048.5
"WBGene00010803","M01B2.10",39,45,21,114,69,2.53333333333333,0.000278138337465133,0.0914379784416625,"NotSig","OK",-1.07446970115386,"large",30
"WBGene00016733","phat-2",304,60,218,52,-8,0.866666666666667,0.000274521342993931,0.0914379784416625,"NotSig","OK",0.28864039354484,"small",261
"WBGene00009983","cut-2",3280,55,3089,54,-1,0.981818181818182,0.000293335327549156,0.0935117468429432,"NotSig","OK",0.0599382164898674,"negligible",3184.5
"WBGene00017548","F18A1.7",534,39,256,32.5,-6.5,0.833333333333333,0.000331289011620146,0.0995760114926839,"NotSig","OK",0.288811682056636,"small",395
"WBGene00004392","rnr-2",1457,49,749,55,6,1.12244897959184,0.000330847410283128,0.0995760114926839,"NotSig","OK",-0.136204735886558,"negligible",1103
"WBGene00004493","rps-24",4843,41,3136,40,-1,0.975609756097561,0.000397776360744621,0.110121245132458,"NotSig","OK",0.0445650573117894,"negligible",3989.5
"WBGene00020299","T07A9.12",106,42,61,71,29,1.69047619047619,0.000387486277526967,0.110121245132458,"NotSig","OK",-0.590538605607694,"medium",83.5
"WBGene00013674","Y105E8A.14",39,34,22,74.5,40.5,2.19117647058824,0.000380841554591958,0.110121245132458,"NotSig","OK",-1.11666842024506,"large",30.5
"WBGene00004061","pmp-4",13,106,12,30.5,-75.5,0.287735849056604,0.000448633402827151,0.121015984557478,"NotSig","OK",1.31427300027073,"large",12.5
"WBGene00004446","rpl-32",6382,38,3758,37,-1,0.973684210526316,0.000520627900434489,0.136925137814271,"NotSig","OK",0.0548733602811023,"negligible",5070
"WBGene00012479","Y18D10A.9",45,45,34,74,29,1.64444444444444,0.000547327694578692,0.140436276755313,"NotSig","OK",-0.585796324344447,"medium",39.5
"WBGene00013200","Y54E5A.5",236,31,148,35,4,1.12903225806452,0.000584989623315118,0.146525972316073,"NotSig","OK",-0.303287101491487,"small",192
"WBGene00001784","gst-36",69,53,67,82,29,1.54716981132076,0.000607589463333665,0.148647468703957,"NotSig","OK",-0.606924183667912,"medium",68
"WBGene00015064","B0228.7",142,35,93,44,9,1.25714285714286,0.00062197102935075,0.148707618835679,"NotSig","OK",-0.350979389016724,"small",117.5
"WBGene00018754","F53C3.11",22,22,14,75.5,53.5,3.43181818181818,0.000653583309422927,0.152793253669538,"NotSig","OK",-1.06593546343876,"large",18
"WBGene00022427","spl-3",31,41,21,79,38,1.92682926829268,0.000687641477417951,0.157260616139931,"NotSig","OK",-1.05736760909226,"large",26
"WBGene00007867","C32H11.4",94,56.5,101,80,23.5,1.41592920353982,0.000703983627895505,0.1575725056481,"NotSig","OK",-0.505609046797351,"medium",97.5
"WBGene00000901","daf-5",51,28,36,88,60,3.14285714285714,0.00078630309121593,0.172331427491491,"NotSig","OK",-0.939531991947394,"large",43.5
"WBGene00000594","col-3",431,43,456,39,-4,0.906976744186046,0.000954023953279414,0.19280839242491,"NotSig","OK",0.189680322260148,"negligible",443.5
"WBGene00010918","M117.1",34,27,17,58,31,2.14814814814815,0.000967409262375944,0.19280839242491,"NotSig","OK",-1.0241939489896,"large",25.5
"WBGene00004426","rpl-14",7305,39,4511,38,-1,0.974358974358974,0.000971373079707248,0.19280839242491,"NotSig","OK",0.0491362259433854,"negligible",5908
"WBGene00009370","set-10",59,31,48,55,24,1.7741935483871,0.000929689862736696,0.19280839242491,"NotSig","OK",-0.495735839795624,"small",53.5
"WBGene00021427","Y38F2AR.9",3375,39,1667,42,3,1.07692307692308,0.000954658976838084,0.19280839242491,"NotSig","OK",-0.075044864821697,"negligible",2521
"WBGene00008238","C50F4.16",48,20.5,31,57,36.5,2.78048780487805,0.00107938182944489,0.210279571217783,"NotSig","OK",-0.801591896938372,"large",39.5
"WBGene00008447","E01G4.5",34,45.5,26,73.5,28,1.61538461538461,0.00126969203907653,0.239783615975303,"NotSig","OK",-0.781417130815727,"medium",30
"WBGene00021789","nol-6",27,71,30,33,-38,0.464788732394366,0.00127641468580009,0.239783615975303,"NotSig","OK",0.758398712377771,"medium",28.5
"WBGene00009013","mrps-33",163,46,138,35.5,-10.5,0.771739130434783,0.00133840720271595,0.247018311799505,"NotSig","OK",0.18552360866826,"negligible",150.5
"WBGene00004434","rpl-22",8402,41,5192,40,-1,0.975609756097561,0.00146283965252879,0.26532884732074,"NotSig","OK",0.044117462514017,"negligible",6797
"WBGene00003061","lpd-5",405,40,276,46,6,1.15,0.00157399874204892,0.276559080419126,"NotSig","OK",-0.229845412295016,"small",340.5
"WBGene00003738","nid-1",152,53,87,35,-18,0.660377358490566,0.00157733315828399,0.276559080419126,"NotSig","OK",0.402414571984237,"small",119.5
"WBGene00004884","smg-6",67,48,38,80,32,1.66666666666667,0.00170309605503185,0.284390007919605,"NotSig","OK",-0.660834665557767,"medium",52.5
"WBGene00004984","spn-4",192,41.5,70,25,-16.5,0.602409638554217,0.00166743162262997,0.284390007919605,"NotSig","OK",0.413122890378328,"small",131
"WBGene00013219","Y54G11A.11",731,50,330,55.5,5.5,1.11,0.0016890852402813,0.284390007919605,"NotSig","OK",-0.209938621790292,"small",530.5
"WBGene00000524","clc-3",44,44.5,28,79,34.5,1.7752808988764,0.00195856059392821,0.298665384137382,"NotSig","OK",-0.782071558244643,"medium",36
"WBGene00009701","egg-3",62,19,27,45,26,2.36842105263158,0.00194672646217929,0.298665384137382,"NotSig","OK",-0.870471567275756,"large",44.5
"WBGene00002068","ify-1",354,47,157,39,-8,0.829787234042553,0.0019082850745495,0.298665384137382,"NotSig","OK",0.271362132457826,"small",255.5
"WBGene00003053","lmp-1",614,50,299,43,-7,0.86,0.00186432419010674,0.298665384137382,"NotSig","OK",0.148461945013755,"negligible",456.5
"WBGene00004450","rpl-36",4050,40,2622,38,-2,0.95,0.00195892694919005,0.298665384137382,"NotSig","OK",0.0592344706638903,"negligible",3336
"WBGene00008402","wdfy-2",73,53,48,83.5,30.5,1.57547169811321,0.00183523628798635,0.298665384137382,"NotSig","OK",-0.782282908750355,"medium",60.5
"WBGene00011059","R06C1.4",2148,38,983,41,3,1.07894736842105,0.00204073416470114,0.306693191609371,"NotSig","OK",-0.111251417209153,"negligible",1565.5
"WBGene00010879","M05D6.6",468,53.5,494,62,8.5,1.1588785046729,0.00208444438356875,0.30885006922737,"NotSig","OK",-0.14708399321665,"negligible",481
"WBGene00195070","C16C8.20",9,47,12,32,-15,0.680851063829787,0.00214157186973593,0.312907445411417,"NotSig","OK",1.59274748056449,"large",10.5
"WBGene00010013","F54B3.1",48,72,25,23,-49,0.319444444444444,0.00218278211669867,0.314559833803699,"NotSig","OK",0.817848566758103,"large",36.5
"WBGene00044413","B0205.12",337,30,261,35,5,1.16666666666667,0.00224991726090331,0.315588394462704,"NotSig","OK",-0.240781455317211,"small",299
"WBGene00009722","F45D3.2",16,94,14,19.5,-74.5,0.207446808510638,0.00223970706925011,0.315588394462704,"NotSig","OK",1.05255186956629,"large",15
"WBGene00001173","egl-4",102,69.5,69,48,-21.5,0.690647482014389,0.00245295435240733,0.335564623542333,"NotSig","OK",0.419403793527799,"small",85.5
"WBGene00004469","rps-0",3244,42,2024,44,2,1.04761904761905,0.00245612889855129,0.335564623542333,"NotSig","OK",-0.0942808395971238,"negligible",2634
"WBGene00000510","cka-2",27,79,24,52.5,-26.5,0.664556962025316,0.0026080530507546,0.345759383860142,"NotSig","OK",0.913755255552435,"large",25.5
"WBGene00010701","ent-2",160,55.5,106,40.5,-15,0.72972972972973,0.00269508264986042,0.345759383860142,"NotSig","OK",0.279598397318554,"small",133
"WBGene00001788","gst-40",20,33.5,21,62,28.5,1.85074626865672,0.00269324172384179,0.345759383860142,"NotSig","OK",-0.880714298486971,"large",20.5
"WBGene00001812","haf-2",16,18.5,13,82,63.5,4.43243243243243,0.00265874491830107,0.345759383860142,"NotSig","OK",-1.27784557466327,"large",14.5
"WBGene00014206","nit-1",153,53,126,62.5,9.5,1.17924528301887,0.00256828865115215,0.345759383860142,"NotSig","OK",-0.335094023368604,"small",139.5
"WBGene00010175","F56H11.2",82,38.5,61,59,20.5,1.53246753246753,0.0028622874174357,0.361689892949058,"NotSig","OK",-0.469291383979757,"small",71.5
"WBGene00004125","mdt-30",44,41,27,86,45,2.09756097560976,0.00288801815662746,0.361689892949058,"NotSig","OK",-0.763453968366429,"medium",35.5
"WBGene00000047","acr-8",22,98,19,40,-58,0.408163265306123,0.00312845141870502,0.375722046390899,"NotSig","OK",0.629656696415355,"medium",20.5
"WBGene00017263","F08F3.6",50,72,20,27.5,-44.5,0.381944444444444,0.0031619755951817,0.375722046390899,"NotSig","OK",0.817154745316507,"large",35
"WBGene00018854","nlf-1",48,66,43,38,-28,0.575757575757576,0.00317863708448574,0.375722046390899,"NotSig","OK",0.483811140332502,"small",45.5
"WBGene00004441","rpl-27",4252,37,2792,36,-1,0.972972972972973,0.00308227042899051,0.375722046390899,"NotSig","OK",0.060045948932544,"negligible",3522
"WBGene00004467","rpn-11",183,48,74,68,20,1.41666666666667,0.00308590802585449,0.375722046390899,"NotSig","OK",-0.443488545279606,"small",128.5
"WBGene00003964","pdi-3",1275,54,796,50,-4,0.925925925925926,0.00322772943742629,0.377285707574717,"NotSig","OK",0.0894328449780957,"negligible",1035.5
"WBGene00000205","arx-7",385,39,200,50,11,1.28205128205128,0.00369141580603309,0.377576534662576,"NotSig","OK",-0.274596291397243,"small",292.5
"WBGene00015905","C17E7.12",583,39,356,36,-3,0.923076923076923,0.00332837704588986,0.377576534662576,"NotSig","OK",0.0633239580199305,"negligible",469.5
"WBGene00016446","C35D10.10",327,37,221,47,10,1.27027027027027,0.00338078942420379,0.377576534662576,"NotSig","OK",-0.197292351681899,"negligible",274
"WBGene00016671","C45G7.4",14,18,12,82.5,64.5,4.58333333333333,0.00365446303116206,0.377576534662576,"NotSig","OK",-0.894056453732159,"large",13
"WBGene00017593","F19C7.3",29,73,19,29,-44,0.397260273972603,0.00373269577993421,0.377576534662576,"NotSig","OK",0.284334029274616,"small",24
"WBGene00001466","flr-2",25,42,21,81,39,1.92857142857143,0.0037260522857641,0.377576534662576,"NotSig","OK",-0.783712492924082,"medium",23
"WBGene00010878","M05D6.5",457,50,329,58,8,1.16,0.00357517229034423,0.377576534662576,"NotSig","OK",-0.0978196651284195,"negligible",393
"WBGene00004271","rab-7",81,39,57,67,28,1.71794871794872,0.00365668160884522,0.377576534662576,"NotSig","OK",-0.474741071087356,"small",69
"WBGene00004482","rps-13",2022,43,1287,41,-2,0.953488372093023,0.003474928069829,0.377576534662576,"NotSig","OK",0.0724299670564484,"negligible",1654.5
"WBGene00006383","taf-2",12,18.5,9,62,43.5,3.35135135135135,0.00356042460318343,0.377576534662576,"NotSig","OK",-1.15527407611241,"large",10.5
"WBGene00006745","unc-5",96,27,64,92.5,65.5,3.42592592592593,0.00331755262899469,0.377576534662576,"NotSig","OK",-0.469463955369114,"small",80
"WBGene00021715","Y49F6B.2",190,34,108,40,6,1.17647058823529,0.00361963732253035,0.377576534662576,"NotSig","OK",-0.363759267478374,"small",149
"WBGene00021800","Y53G8AL.2",216,48,140,60.5,12.5,1.26041666666667,0.00350993595488509,0.377576534662576,"NotSig","OK",-0.301644943660998,"small",178
"WBGene00013321","Y57G11C.31",102,44,94,60.5,16.5,1.375,0.00369975019427508,0.377576534662576,"NotSig","OK",-0.428589738777601,"small",98
"WBGene00009691","F44E5.4",1683,30,259,36,6,1.2,0.00383278268068427,0.384008321912367,"NotSig","OK",-0.279606086226403,"small",971
"WBGene00014020","ZK632.14",137,41,70,29.5,-11.5,0.719512195121951,0.0038847770620803,0.385545798991365,"NotSig","OK",0.420336157812033,"small",103.5
"WBGene00001064","dpy-2",615,43,421,51,8,1.18604651162791,0.00401152669618436,0.38716753067761,"NotSig","OK",-0.163214236300138,"negligible",518
"WBGene00001976","hmg-11",4820,39,2468,42,3,1.07692307692308,0.00400900069977184,0.38716753067761,"NotSig","OK",-0.0505793935379762,"negligible",3644
"WBGene00006876","vab-10",209,61,171,74,13,1.21311475409836,0.00400314755993257,0.38716753067761,"NotSig","OK",-0.310982716177535,"small",190
"WBGene00004490","rps-21",2438,38,1745,36,-2,0.947368421052632,0.00406982898468335,0.389223644716989,"NotSig","OK",0.0903503073394557,"negligible",2091.5
"WBGene00008140","xpf-1",18,29.5,10,130.5,101,4.42372881355932,0.00431754574819668,0.409194425865127,"NotSig","OK",-1.43180049610433,"large",14
"WBGene00017160","F01F1.3",21,18,15,47,29,2.61111111111111,0.00446869192716017,0.416023354634735,"NotSig","OK",-0.546200187660933,"medium",18
"WBGene00012435","flh-1",156,53,95,70,17,1.32075471698113,0.00445421715020832,0.416023354634735,"NotSig","OK",-0.35104164439734,"small",125.5
"WBGene00000235","baf-1",1965,45,1016,48,3,1.06666666666667,0.0045707396204792,0.420275968966224,"NotSig","OK",-0.0879803039065207,"negligible",1490.5
"WBGene00000248","ben-1",166,51,88,69.5,18.5,1.36274509803922,0.00467043327608341,0.420275968966224,"NotSig","OK",-0.38559955539947,"small",127
"WBGene00001553","gcy-33",6,46,8,111,65,2.41304347826087,0.00466200466200466,0.420275968966224,"NotSig","OK",-1.59640270576926,"large",7
"WBGene00017823","pals-34",20,31,11,87,56,2.80645161290323,0.0046741718981985,0.420275968966224,"NotSig","OK",-1.34354551201288,"large",15.5
"WBGene00003651","nhr-61",72,43.5,37,84,40.5,1.93103448275862,0.00476748965336146,0.424480708450622,"NotSig","OK",-0.553106892899695,"medium",54.5
"WBGene00014505","T05E11.9",2540,55,1906,58,3,1.05454545454545,0.00480163539026844,0.424480708450622,"NotSig","OK",-0.0789653807392838,"negligible",2223
"WBGene00010419","atp-1",715,45,477,50,5,1.11111111111111,0.00491878963051973,0.427650139777418,"NotSig","OK",-0.171409341774949,"negligible",596
"WBGene00011410","T04A8.8",402,39,225,33,-6,0.846153846153846,0.00489142618906186,0.427650139777418,"NotSig","OK",0.132321446867572,"negligible",313.5
"WBGene00016996","D1005.2",48,36.5,54,48.5,12,1.32876712328767,0.00500985785994834,0.430011696117184,"NotSig","OK",-0.572719549009187,"medium",51
"WBGene00009881","F49C12.12",1435,46,949,50,4,1.08695652173913,0.0050898906804358,0.430011696117184,"NotSig","OK",-0.122730964163435,"negligible",1192
"WBGene00010579","K05C4.2",492,40,292,47.5,7.5,1.1875,0.00510945456413004,0.430011696117184,"NotSig","OK",-0.210976309503748,"small",392
"WBGene00009441","wdr-48",48,66,28,45,-21,0.681818181818182,0.0051066721715502,0.430011696117184,"NotSig","OK",0.662023065748645,"medium",38
"WBGene00019797","fbxb-31",53,55,50,31.5,-23.5,0.572727272727273,0.0051874923937822,0.43311444430626,"NotSig","OK",0.542118814185962,"medium",51.5
"WBGene00017749","rpoa-49",74,34.5,46,57.5,23,1.66666666666667,0.00529731991585599,0.438106484426983,"NotSig","OK",-0.374551117582625,"small",60
"WBGene00017755","zip-8",360,70.5,178,94,23.5,1.33333333333333,0.00533057319454884,0.438106484426983,"NotSig","OK",-0.297872345224391,"small",269
"WBGene00018442","sdz-18",41,36,28,53.5,17.5,1.48611111111111,0.00542152056980832,0.442127103832431,"NotSig","OK",-0.638289224908284,"medium",34.5
"WBGene00011339","T01G5.1",33,35,19,69,34,1.97142857142857,0.00552000800486508,0.446696032393697,"NotSig","OK",-0.984545597192818,"large",26
"WBGene00011925","T22C8.4",61,38,37,64,26,1.68421052631579,0.00572469880046119,0.453592785672419,"NotSig","OK",-0.428036468347516,"small",49
"WBGene00023159","W06H8.5",67,47,40,73,26,1.5531914893617,0.00573458559833001,0.453592785672419,"NotSig","OK",-0.50303072822776,"medium",53.5
"WBGene00022358","Y92H12A.2",11,93,16,24.5,-68.5,0.263440860215054,0.00571292231552844,0.453592785672419,"NotSig","OK",1.31646543095531,"large",13.5
"WBGene00007586","ril-2",89,32,55,49,17,1.53125,0.00600778371930965,0.471655856172668,"NotSig","OK",-0.49154098121894,"small",72
"WBGene00011488","nra-2",161,42,90,59,17,1.40476190476191,0.00613668311034813,0.476596924007102,"NotSig","OK",-0.355452682119896,"small",125.5
"WBGene00012109","T28A8.3",50,38,22,66,28,1.73684210526316,0.00616132905560512,0.476596924007102,"NotSig","OK",-0.292823298873473,"small",36
"WBGene00013025","vha-13",466,52,367,57,5,1.09615384615385,0.00621102496631486,0.476934179895127,"NotSig","OK",-0.184222548863435,"negligible",416.5
"WBGene00006574","tin-13",462,34,337,39,5,1.14705882352941,0.00626982422045795,0.477960513037809,"NotSig","OK",-0.149257279115972,"negligible",399.5
"WBGene00009314","F32B4.4",14,43.5,8,136,92.5,3.1264367816092,0.00636707633611658,0.477990033254645,"NotSig","OK",-1.47754206521027,"large",11
"WBGene00012436","flh-3",138,39,81,63,24,1.61538461538461,0.00653698370869517,0.477990033254645,"NotSig","OK",-0.408171097762917,"small",109.5
"WBGene00001934","his-60",318,38,160,31,-7,0.815789473684211,0.00637564165350016,0.477990033254645,"NotSig","OK",0.209252634323085,"small",239
"WBGene00010691","K08H2.4",163,42,94,55,13,1.30952380952381,0.00659593793122552,0.477990033254645,"NotSig","OK",-0.195597179713756,"negligible",128.5
"WBGene00009551","mob-1",238,42.5,145,32,-10.5,0.752941176470588,0.00641579311711368,0.477990033254645,"NotSig","OK",0.115984316159993,"negligible",191.5
"WBGene00008664","nubp-1",167,40,135,53,13,1.325,0.00662061242318593,0.477990033254645,"NotSig","OK",-0.388670147359752,"small",151
"WBGene00020901","T28F2.2",87,36,58,48.5,12.5,1.34722222222222,0.00659524834956253,0.477990033254645,"NotSig","OK",-0.540142611526909,"medium",72.5
"WBGene00021057","W06B4.2",34,39.5,16,74.5,35,1.88607594936709,0.00663370198243139,0.477990033254645,"NotSig","OK",-0.618970342963834,"medium",25
"WBGene00013768","sld-5",87,55,51,75,20,1.36363636363636,0.00671266038976716,0.480389029254085,"NotSig","OK",-0.3126819771686,"small",69
"WBGene00001031","dnj-13",235,33,165,50,17,1.51515151515151,0.00687183829117936,0.488382618158,"NotSig","OK",-0.323696879370084,"small",200
"WBGene00012166","nuo-6",369,39,236,46,7,1.17948717948718,0.00696031894629797,0.488382618158,"NotSig","OK",-0.118924013214856,"negligible",302.5
"WBGene00015168","pdi-6",872,55,558,49,-6,0.890909090909091,0.00705647889353765,0.488382618158,"NotSig","OK",0.127030944169721,"negligible",715
"WBGene00020052","R13A5.10",24,35.5,23,53,17.5,1.49295774647887,0.00705572834441279,0.488382618158,"NotSig","OK",-0.747542299811623,"medium",23.5
"WBGene00018672","sorf-2",26,37,23,87,50,2.35135135135135,0.00703937304302363,0.488382618158,"NotSig","OK",-0.848580189734684,"large",24.5
