"gene_id","symbol","N2_counts","N2_polya_median","GLD4/TENT_counts","GLD4/TENT_polya_median","length_diff","fold_change","p.value","padj","significance","stats_code","cohen_d","effect_size","baseMean"
"WBGene00001168","eef-1A.1",33676,54,28829,40,-14,0.740740740740741,0,0,"Sig","OK",-0.373567899707672,"small",31252.5
"WBGene00001386","far-2",7764,59,5242,41,-18,0.694915254237288,6.95831153208411e-256,3.20778161629077e-252,"Sig","OK",-0.484823077396054,"small",6503
"WBGene00009119","ndk-1",10612,50,9938,39,-11,0.78,3.30520170637152e-252,1.01579865775818e-248,"Sig","OK",-0.34678334321835,"small",10275
"WBGene00004492","rps-23",9239,46,10412,37,-9,0.804347826086957,1.54609407123693e-217,3.56374683420112e-214,"Sig","OK",-0.352472776921686,"small",9825.5
"WBGene00004439","rpl-25.2",6709,47,7474,36,-11,0.765957446808511,1.56560772145113e-210,2.88698063835588e-207,"Sig","OK",-0.370699782473995,"small",7091.5
"WBGene00004428","rpl-16",14401,40,13749,34,-6,0.85,1.33742763400112e-206,2.05518046424838e-203,"Sig","OK",-0.243007080609157,"small",14075
"WBGene00000696","col-122",14513,47,10921,39,-8,0.829787234042553,3.72873086484297e-194,4.91127122483602e-191,"Sig","OK",-0.291432017838568,"small",12717
"WBGene00000693","col-119",8062,50,4475,38,-12,0.76,1.15569955910084e-191,1.33194374186372e-188,"Sig","OK",-0.432540158754346,"small",6268.5
"WBGene00004435","rpl-23",9426,46,10892,37,-9,0.804347826086957,1.17925254825982e-183,1.20807872166172e-180,"Sig","OK",-0.31789734289975,"small",10159
"WBGene00011156","rbm-3.2",8342,40,8609,33,-7,0.825,5.17969579657792e-165,4.77567952444484e-162,"Sig","OK",-0.273735132814903,"small",8475.5
"WBGene00004494","rps-25",18625,38,19604,33,-5,0.868421052631579,2.76637065826805e-161,2.31872158811195e-158,"Sig","OK",-0.184315337030295,"negligible",19114.5
"WBGene00004418","rpl-7",10054,46,10569,37,-9,0.804347826086957,1.02972878274389e-155,7.91174948074887e-153,"Sig","OK",-0.2703659184548,"small",10311.5
"WBGene00004420","rpl-9",11340,40,11146,34,-6,0.85,3.20761140796711e-154,2.27493670626591e-151,"Sig","OK",-0.228958537754382,"small",11243
"WBGene00004445","rpl-31",8461,39,9169,33,-6,0.846153846153846,1.5725767938617e-152,1.03565414567178e-149,"Sig","OK",-0.274041450815242,"small",8815
"WBGene00004478","rps-9",16788,40,16029,35,-5,0.875,3.94230236462751e-151,2.42320185345771e-148,"Sig","OK",-0.177150110622153,"negligible",16408.5
"WBGene00010556","rack-1",12646,36,11153,31,-5,0.861111111111111,4.29767008145331e-150,2.47653238443747e-147,"Sig","OK",-0.200101312378482,"small",11899.5
"WBGene00004473","rps-4",13225,45,13614,37,-8,0.822222222222222,4.84138680081661e-146,2.62574037079584e-143,"Sig","OK",-0.207245877948224,"small",13419.5
"WBGene00004431","rpl-19",15986,39,14824,34,-5,0.871794871794872,6.67866553359242e-145,3.42096090109567e-142,"Sig","OK",-0.152218115711001,"negligible",15405
"WBGene00004475","rps-6",6653,40,7359,32,-8,0.8,5.45092812097658e-143,2.64513459344232e-140,"Sig","OK",-0.296510958942656,"small",7006
"WBGene00004476","rps-7",14119,36,13438,31,-5,0.861111111111111,1.6490460556572e-133,7.6021023165797e-131,"Sig","OK",-0.167961598365606,"negligible",13778.5
"WBGene00004481","rps-12",14910,42,14682,36,-6,0.857142857142857,6.39383662199797e-133,2.80719874546768e-130,"Sig","OK",-0.206291165687756,"small",14796
"WBGene00000883","cyn-7",3555,65,5055,49,-16,0.753846153846154,5.37939848709058e-129,2.25445700231705e-126,"Sig","OK",-0.424276613222421,"small",4305
"WBGene00004415","rpl-4",15528,40,14067,35,-5,0.875,3.41824399351364e-125,1.37026998348677e-122,"Sig","OK",-0.182777498200786,"negligible",14797.5
"WBGene00004448","rpl-34",8031,40,9509,34,-6,0.85,2.21498418153685e-120,8.50923089740407e-118,"Sig","OK",-0.213429724998444,"small",8770
"WBGene00004447","rpl-33",9641,45,10412,39,-6,0.866666666666667,1.4956343973538e-119,5.51589965744082e-117,"Sig","OK",-0.224425344583665,"small",10026.5
"WBGene00004413","rpl-2",15870,36,13934,31,-5,0.861111111111111,6.24411861686663e-118,2.21426052490424e-115,"Sig","OK",-0.163031899035472,"negligible",14902
"WBGene00002005","hsp-1",7292,56,5619,45,-11,0.803571428571429,2.91300038710452e-117,9.9473568774458e-115,"Sig","OK",-0.29339148378444,"small",6455.5
"WBGene00004414","rpl-3",14655,38,14453,34,-4,0.894736842105263,8.46810190386112e-115,2.77792605985815e-112,"Sig","OK",-0.181847333788676,"negligible",14554
"WBGene00004429","rpl-17",14154,38,13594,33,-5,0.868421052631579,8.73751146810047e-115,2.77792605985815e-112,"Sig","OK",-0.159192700893697,"negligible",13874
"WBGene00009122","tct-1",4525,42,4529,33,-9,0.785714285714286,1.14250881772708e-113,3.51131043314789e-111,"Sig","OK",-0.326588869997496,"small",4527
"WBGene00022042","icd-2",3459,43,3563,33,-10,0.767441860465116,8.95169888048277e-113,2.66240850574359e-110,"Sig","OK",-0.313515001443034,"small",3511
"WBGene00004456","rpl-43",7428,35,8685,30,-5,0.857142857142857,1.49171080642843e-110,4.29799176102192e-108,"Sig","OK",-0.206890568174622,"small",8056.5
"WBGene00004417","rpl-6",10532,42,10534,37,-5,0.880952380952381,9.08928163400941e-110,2.53949020198687e-107,"Sig","OK",-0.187683363037089,"negligible",10533
"WBGene00004446","rpl-32",7890,39,8796,33,-6,0.846153846153846,3.43016205773428e-107,9.30179240362062e-105,"Sig","OK",-0.239154947401048,"small",8343
"WBGene00004416","rpl-5",14650,41,13375,36,-5,0.878048780487805,5.53902335767531e-107,1.4591370102219e-104,"Sig","OK",-0.173724946820188,"negligible",14012.5
"WBGene00004449","rpl-35",8940,40,9708,35,-5,0.875,4.76151103197408e-102,1.21947588096669e-99,"Sig","OK",-0.203215362894359,"small",9324
"WBGene00004470","rps-1",10592,45,11244,38,-7,0.844444444444444,9.47860892902155e-101,2.36196687366429e-98,"Sig","OK",-0.198332671261784,"negligible",10918
"WBGene00004472","rps-3",15641,41,15439,37,-4,0.902439024390244,1.07891252384443e-97,2.61778249206466e-95,"Sig","OK",-0.138403245069954,"negligible",15540
"WBGene00004489","rps-20",7555,45,8925,37,-8,0.822222222222222,2.146911606551e-97,5.07551923394877e-95,"Sig","OK",-0.235851340858472,"small",8240
"WBGene00004426","rpl-14",10350,38,9911,33,-5,0.868421052631579,5.02762601805353e-96,1.15886779716134e-93,"Sig","OK",-0.184789622936582,"negligible",10130.5
"WBGene00000713","col-140",7627,48,3486,39,-9,0.8125,6.582091933547e-96,1.48016799090984e-93,"Sig","OK",-0.288073481917097,"small",5556.5
"WBGene00001167","eef-2",8430,51,7153,41,-10,0.803921568627451,6.03702228999504e-95,1.32527013127986e-92,"Sig","OK",-0.250348880780051,"small",7791.5
"WBGene00018846","eef-1B.1",6543,42,4777,35,-7,0.833333333333333,3.03648773178725e-94,6.51079462490196e-92,"Sig","OK",-0.247808515116285,"small",5660
"WBGene00004441","rpl-27",4493,40,6196,32,-8,0.8,6.5777973657348e-94,1.37834753891079e-91,"Sig","OK",-0.285311056984102,"small",5344.5
