"gene_id","symbol","WT_vector_counts","WT_vector_polya_median","LARP_counts","LARP_polya_median","length_diff","fold_change","p.value","padj","significance","stats_code","cohen_d","effect_size","baseMean"
"WBGene00007458","ule-4",1454,56,1450,33,-23,0.589285714285714,2.63354648230014e-135,2.16372178985779e-131,"Sig","OK",-0.729290509305645,"medium",1452
"WBGene00001386","far-2",2362,66,2243,42,-24,0.636363636363636,2.13001184046488e-111,8.75008864062974e-108,"Sig","OK",-0.572172582185955,"medium",2302.5
"WBGene00012557","Y37D8A.19",970,61,1137,34,-27,0.557377049180328,1.74633345986604e-99,4.7826252354198e-96,"Sig","OK",-0.642337871217441,"medium",1053.5
"WBGene00013393","Y62H9A.5",870,54,968,33,-21,0.611111111111111,3.46726500599537e-94,7.12176232231448e-91,"Sig","OK",-0.627217868373413,"medium",919
"WBGene00013394","ule-5",746,55.5,832,34,-21.5,0.612612612612613,9.09307452934518e-73,1.494174006662e-69,"Sig","OK",-0.59700289382664,"medium",789
"WBGene00013867","ZC373.2",697,60,828,37,-23,0.616666666666667,8.15507956257739e-63,1.11670222810226e-59,"Sig","OK",-0.52853531578084,"medium",762.5
"WBGene00008377","D1054.10",1012,57,1120,38,-19,0.666666666666667,3.84000229829782e-60,4.50706555468784e-57,"Sig","OK",-0.498025528088184,"small",1066
"WBGene00015683","C10G8.4",604,61,549,36,-25,0.590163934426229,5.16558386631181e-60,5.30505463070223e-57,"Sig","OK",-0.747412792820471,"medium",576.5
"WBGene00022822","ZK813.3",618,61,744,37,-24,0.60655737704918,1.22988468005464e-57,1.12274805903654e-54,"Sig","OK",-0.646604873938434,"medium",681
"WBGene00006929","vit-5",4326,60,5196,53,-7,0.883333333333333,9.58795903577349e-51,7.8774671437915e-48,"Sig","OK",-0.219220899698673,"small",4761
"WBGene00008378","ule-3",866,58,906,40,-18,0.689655172413793,1.18245426070487e-47,8.83185836904654e-45,"Sig","OK",-0.447697967326168,"small",886
"WBGene00000696","col-122",2333,51,2623,41,-10,0.803921568627451,6.974031285526e-42,4.77488675349013e-39,"Sig","OK",-0.334304460543814,"small",2478
"WBGene00006928","vit-4",3636,54,4411,46,-8,0.851851851851852,9.82184991641503e-42,6.2074091471743e-39,"Sig","OK",-0.216800959582896,"small",4023.5
"WBGene00012213","W02D9.7",347,50,451,31,-19,0.62,1.49665775965154e-39,8.78324296664074e-37,"Sig","OK",-0.793366321599541,"medium",399
"WBGene00013297","Y57G11B.5",266,62,442,37,-25,0.596774193548387,6.80775766762659e-39,3.72883579981467e-36,"Sig","OK",-0.767045280802515,"medium",354
"WBGene00045394","ZK813.7",610,54,545,34,-20,0.62962962962963,2.94316081885666e-35,1.5113130804829e-32,"Sig","OK",-0.558798189212434,"medium",577.5
"WBGene00004147","larp-5",86,63,372,8,-55,0.126984126984127,1.57843179135506e-33,7.62846799869011e-31,"Sig","OK",-1.17679683904866,"large",229
"WBGene00016636","perm-2",921,80,1106,56,-24,0.7,2.37951073859603e-31,1.08611445712806e-28,"Sig","OK",-0.446732390967173,"small",1013.5
"WBGene00010539","ttr-2",470,49,578,33,-16,0.673469387755102,7.18694237718594e-31,3.10778518794525e-28,"Sig","OK",-0.531116528369366,"medium",524
"WBGene00010085","F55B11.3",223,56,286,33,-23,0.589285714285714,3.84712417509423e-30,1.58039861112871e-27,"Sig","OK",-0.845809307178524,"large",254.5
"WBGene00000680","col-106",1392,45,1663,34,-11,0.755555555555556,1.81156271478711e-28,7.08752345937661e-26,"Sig","OK",-0.317114958324052,"small",1527.5
"WBGene00016638","perm-4",988,80,1161,64,-16,0.8,2.3486423908559e-28,8.77111176512367e-26,"Sig","OK",-0.392634790012077,"small",1074.5
"WBGene00000757","col-184",1095,48,1075,34,-14,0.708333333333333,7.02446590038485e-28,2.50926138424182e-25,"Sig","OK",-0.359930394544489,"small",1085
"WBGene00010007","F53H4.2",222,56.5,219,34,-22.5,0.601769911504425,9.69239258959513e-28,3.3180290631714e-25,"Sig","OK",-0.891115188320025,"large",220.5
"WBGene00007196","B0513.4",271,78,275,43,-35,0.551282051282051,2.78852033609398e-27,9.16419323253925e-25,"Sig","OK",-0.871779667921877,"large",273
"WBGene00022820","ZK813.1",609,60,632,41,-19,0.683333333333333,8.23388986412161e-26,2.60190919706243e-23,"Sig","OK",-0.429691293782609,"small",620.5
"WBGene00010196","F57C2.4",206,59,223,36,-23,0.610169491525424,1.00755999933868e-21,3.0659677609506e-19,"Sig","OK",-0.67400074700014,"medium",214.5
"WBGene00050914","T12B5.15",197,54,179,33,-21,0.611111111111111,8.65737043469206e-20,2.54031983897964e-17,"Sig","OK",-0.792455701136752,"medium",188
"WBGene00016627","C44B7.5",270,69,280,40,-29,0.579710144927536,3.33066116919228e-19,9.43610764347716e-17,"Sig","OK",-0.637777592537804,"medium",275
"WBGene00016434","C35B1.4",167,54,162,32,-22,0.592592592592593,9.40561385794496e-18,2.57588411522919e-15,"Sig","OK",-0.692595604304687,"medium",164.5
"WBGene00000693","col-119",1278,50,1272,42,-8,0.84,1.03440229299396e-17,2.74149975459302e-15,"Sig","OK",-0.289275647431634,"small",1275
"WBGene00000713","col-140",1224,48,1221,37,-11,0.770833333333333,1.45363230200492e-17,3.69121400785102e-15,"Sig","OK",-0.27844865514241,"small",1222.5
"WBGene00006927","vit-3",3617,58,4639,53,-5,0.913793103448276,1.48259569448739e-17,3.69121400785102e-15,"Sig","OK",-0.132154762330087,"negligible",4128
"WBGene00004999","spp-14",779,45,775,35,-10,0.777777777777778,3.12374491587432e-16,7.54843771435983e-14,"Sig","OK",-0.252256976623547,"small",777
"WBGene00002254","lbp-2",412,64,415,41,-23,0.640625,5.32119772238998e-16,1.24911315677589e-13,"Sig","OK",-0.43714493402877,"small",413.5
"WBGene00000214","asp-1",2680,40,2153,35,-5,0.875,1.4419408552615e-15,3.29082946300792e-13,"Sig","OK",-0.0829769645761964,"negligible",2416.5
"WBGene00018605","F48E3.4",166,79,188,43,-36,0.544303797468354,2.44897914021925e-15,5.43805746379496e-13,"Sig","OK",-0.761359204776667,"medium",177
"WBGene00008356","nspc-20",67,62,88,35,-27,0.564516129032258,5.37080396717861e-15,1.16122435248262e-12,"Sig","OK",-1.46847316790147,"large",77.5
"WBGene00045268","ttr-42",117,55,131,36,-19,0.654545454545455,5.7697301778831e-14,1.21548982414071e-11,"Sig","OK",-0.682873266363304,"medium",124
"WBGene00021224","clec-209",138,58.5,211,36,-22.5,0.615384615384615,1.15124372561992e-13,2.36465461242332e-11,"Sig","OK",-0.69864938809167,"medium",174.5
"WBGene00012880","Y45F10C.4",283,52,276,34,-18,0.653846153846154,1.8299543143587e-13,3.66704991384661e-11,"Sig","OK",-0.481291580394202,"small",279.5
"WBGene00016084","cht-3",139,66,188,36,-30,0.545454545454545,2.7576733113302e-13,5.39453426806879e-11,"Sig","OK",-0.563593824743435,"medium",163.5
"WBGene00000218","asp-5",534,48,450,38,-10,0.791666666666667,3.5514702298201e-13,6.78578590888417e-11,"Sig","OK",-0.3176487720517,"small",492
"WBGene00013392","Y62H9A.4",219,52,294,39,-13,0.75,4.07588509942807e-13,7.61078908565932e-11,"Sig","OK",-0.384662498744092,"small",256.5
"WBGene00020218","T04G9.7",248,68,214,44.5,-23.5,0.654411764705882,4.5074557058662e-13,8.22961246208815e-11,"Sig","OK",-0.551409076467492,"medium",231
"WBGene00000716","col-143",786,52,972,40,-12,0.769230769230769,5.26416758332028e-13,9.40226105751292e-11,"Sig","OK",-0.266667214492607,"small",879
"WBGene00013391","Y62H9A.3",185,61,204,40,-21,0.655737704918033,2.43853891095934e-12,4.26277355158339e-10,"Sig","OK",-0.42225364897293,"small",194.5
