"gene_id","symbol","N2_males_counts","N2_males_polya_median","TENT_males_counts","TENT_males_polya_median","length_diff","fold_change","p.value","padj","significance","stats_code","cohen_d","effect_size","baseMean"
"WBGene00019684","K12H6.4",981,76,551,40,-36,0.526315789473684,2.63794666228326e-97,2.18791296169773e-93,"Sig","OK",1.10477822901739,"large",766
"WBGene00019689","K12H6.9",1030,65,633,40,-25,0.615384615384615,4.55129574364076e-85,1.88742234488782e-81,"Sig","OK",0.897894263591175,"large",831.5
"WBGene00008202","clec-197",974,60,1001,42,-18,0.7,9.03714979418724e-70,2.4984706797663e-66,"Sig","OK",0.664796577553944,"medium",987.5
"WBGene00002114","ins-31",743,63,491,31,-32,0.492063492063492,8.35953638775933e-68,1.7333498700019e-64,"Sig","OK",0.911582900054689,"large",617
"WBGene00013120","fipr-28",629,87,341,50,-37,0.574712643678161,1.02364951308433e-64,1.69802981230429e-61,"Sig","OK",1.11752889886803,"large",485
"WBGene00020945","clec-219",535,59,383,35,-24,0.593220338983051,4.12425952782305e-60,5.7011014206274e-57,"Sig","OK",1.04410669492542,"large",459
"WBGene00189937","Y6G8.15",485,85,272,36.5,-48.5,0.429411764705882,3.33622440643762e-49,3.95294931814195e-46,"Sig","OK",1.10193699434617,"large",378.5
"WBGene00015847","C16C8.9",531,75,332,44,-31,0.586666666666667,1.0265447329907e-46,1.06427025192811e-43,"Sig","OK",0.916723798816048,"large",431.5
"WBGene00013928","clec-94",459,63,584,41,-22,0.650793650793651,2.1807562636392e-40,2.00968805006929e-37,"Sig","OK",0.63580967458552,"medium",521.5
"WBGene00044449","fipr-20",449,52,248,30,-22,0.576923076923077,3.92363869975097e-39,3.25426593757345e-36,"Sig","OK",0.834462283481692,"large",348.5
"WBGene00045242","C05B5.11",573,55,281,31,-24,0.563636363636364,9.4097637490336e-32,7.09496186677134e-29,"Sig","OK",0.714623418634562,"medium",427
"WBGene00044450","fipr-18",522,52,244,32,-20,0.615384615384615,3.11190782389424e-30,2.1508469576149e-27,"Sig","OK",0.617967253544998,"medium",383
"WBGene00010314","F59B2.12",777,56,650,41,-15,0.732142857142857,1.49150436284999e-29,9.51579783498294e-27,"Sig","OK",0.437122974153377,"small",713.5
"WBGene00044244","F26D10.13",433,59,551,41,-18,0.694915254237288,1.68583749362179e-29,9.98738298007083e-27,"Sig","OK",0.496376819871065,"small",492
"WBGene00008175","C48B4.12",665,54,626,40,-14,0.740740740740741,2.81761329993756e-29,1.55795231397881e-26,"Sig","OK",0.484730654915575,"small",645.5
"WBGene00011373","T02D1.7",303,78,107,33,-45,0.423076923076923,4.8325135889584e-29,2.50505423167631e-26,"Sig","OK",1.2727755602743,"large",205
"WBGene00044366","nspf-3",238,76,160,37.5,-38.5,0.493421052631579,1.15518508144961e-28,5.63594415620181e-26,"Sig","OK",1.08100342051881,"large",199
"WBGene00010885","M7.9",554,60,460,39,-21,0.65,6.4106680460139e-28,2.95389337631329e-25,"Sig","OK",0.461126903010989,"small",507
"WBGene00008030","scl-8",366,62,261,35,-27,0.564516129032258,1.57176555854068e-27,6.86117028554549e-25,"Sig","OK",0.714639840267536,"medium",313.5
"WBGene00194801","Y6G8.16",402,86,189,51,-35,0.593023255813954,2.54419874800876e-26,1.05507922079923e-23,"Sig","OK",0.900010136197991,"large",295.5
"WBGene00001168","eef-1A.1",5943,37,6948,33,-4,0.891891891891892,9.60494078556177e-25,3.79349423216425e-22,"Sig","OK",0.154890126601209,"negligible",6445.5
"WBGene00013933","clec-99",389,54,310,35,-19,0.648148148148148,6.81965394797128e-24,2.57100953838517e-21,"Sig","OK",0.531652659798626,"medium",349.5
"WBGene00017791","try-8",444,57,357,39,-18,0.684210526315789,1.04638866126014e-23,3.77336850282244e-21,"Sig","OK",0.427444725266006,"small",400.5
"WBGene00015655","C09G12.5",612,69,572,54,-15,0.782608695652174,1.7980609382513e-23,6.21379892577347e-21,"Sig","OK",0.484112197056381,"small",592
"WBGene00303365","M151.10",413,51,357,36,-15,0.705882352941177,9.34386078007301e-20,3.09991925239702e-17,"Sig","OK",0.438535364397074,"small",385
"WBGene00010531","K03D3.5",542,69,568,54,-15,0.782608695652174,1.05281860482283e-19,3.35849134938484e-17,"Sig","OK",0.476117457847979,"small",555
"WBGene00008201","C49C3.11",533,56,518,41,-15,0.732142857142857,6.1151640863978e-19,1.8784878123179e-16,"Sig","OK",0.432802618609041,"small",525.5
