"gene_id","symbol","N2_herm_counts","N2_herm_polya_median","N2_males_counts","N2_males_polya_median","length_diff","fold_change","p.value","padj","significance","stats_code","cohen_d","effect_size","baseMean"
"WBGene00001168","eef-1A.1",7360,54,5943,37,-17,0.685185185185185,8.35645166009522e-209,6.04171455024884e-205,"Sig","OK",-0.427916139692136,"small",6651.5
"WBGene00000693","col-119",1854,51,1387,38,-13,0.745098039215686,4.34120440330766e-58,1.56934539179572e-54,"Sig","OK",-0.44722570643363,"small",1620.5
"WBGene00000754","col-181",2379,55,1130,42,-13,0.763636363636364,8.15102512602937e-45,1.96439705537308e-41,"Sig","OK",-0.36697819725346,"small",1754.5
"WBGene00000066","act-4",1190,64,1912,44,-20,0.6875,1.10348773702629e-42,1.99455408467502e-39,"Sig","OK",-0.447606877495703,"small",1551
"WBGene00000713","col-140",1612,50,986,40,-10,0.8,3.00950420781597e-41,4.35174308450189e-38,"Sig","OK",-0.358500961333025,"small",1299
"WBGene00006650","tts-1",83,150,486,77.5,-72.5,0.516666666666667,3.77770641402919e-35,4.55213622890517e-32,"Sig","OK",-2.03051855517118,"large",284.5
"WBGene00000751","col-178",2018,43,1177,35,-8,0.813953488372093,3.33147554966253e-34,3.44093831772288e-31,"Sig","OK",-0.338564010616794,"small",1597.5
"WBGene00003370","mlc-2",870,68,1082,51,-17,0.75,4.5756015134778e-29,4.13519986780556e-26,"Sig","OK",-0.453732143790402,"small",976
"WBGene00001564","icl-1",155,120,260,71,-49,0.591666666666667,1.01640042415839e-27,8.16508340740574e-25,"Sig","OK",-1.25792209813465,"large",207.5
"WBGene00001386","far-2",2908,66,2326,57,-9,0.863636363636364,3.35685138849348e-27,2.42700355388079e-24,"Sig","OK",-0.24006645874455,"small",2617
"WBGene00000609","col-20",1566,53,812,42,-11,0.792452830188679,2.62648485243923e-26,1.72631686210324e-23,"Sig","OK",-0.30443709804848,"small",1189
"WBGene00014472","MTCE.33",189,15,803,35,20,2.33333333333333,5.35155148392539e-26,3.22430976906505e-23,"Sig","OK",0.614197238453031,"medium",496
"WBGene00000696","col-122",2915,51,1552,44,-7,0.862745098039216,4.07847132646698e-24,2.26825751464279e-21,"Sig","OK",-0.225731496178185,"small",2233.5
"WBGene00006926","vit-2",3301,80,142,57,-23,0.7125,1.69401352831963e-20,8.74836986410779e-18,"Sig","OK",-0.687468716320691,"medium",1721.5
"WBGene00018519","F46H5.3",991,56,1028,40,-16,0.714285714285714,8.47253195641825e-20,4.0837604029936e-17,"Sig","OK",-0.303105818121273,"small",1009.5
"WBGene00000865","cyb-1",170,49,237,112,63,2.28571428571429,1.24405837938043e-19,5.62158880182531e-17,"Sig","OK",1.02526411491076,"large",203.5
"WBGene00004622","rrn-3.1",77,9,605,31,22,3.44444444444445,2.75288109209769e-19,1.17078413505096e-16,"Sig","OK",0.611681062616565,"medium",341
"WBGene00000065","act-3",873,64,1137,50,-14,0.78125,6.74238084996863e-19,2.70818964140407e-16,"Sig","OK",-0.318112021225321,"small",1005
"WBGene00000757","col-184",1304,48,657,38,-10,0.791666666666667,1.78636709134862e-18,6.79759687918447e-16,"Sig","OK",-0.318869044679827,"small",980.5
"WBGene00015913","C17F4.7",1155,48,2569,59,11,1.22916666666667,1.91134435944999e-18,6.90950985941171e-16,"Sig","OK",0.295742614694296,"small",1862
"WBGene00004418","rpl-7",2469,51,1432,43,-8,0.843137254901961,2.36057284271547e-18,8.12711507277756e-16,"Sig","OK",-0.231794540718021,"small",1950.5
"WBGene00004999","spp-14",836,41,921,54,13,1.31707317073171,6.66971898504044e-18,2.19191219372011e-15,"Sig","OK",0.313516187616359,"small",878.5
"WBGene00003446","msp-53",346,59,1991,51,-8,0.864406779661017,8.15707961119663e-17,2.5641602429979e-14,"Sig","OK",-0.389321711135356,"small",1168.5
"WBGene00003934","pat-10",1109,53,1518,42,-11,0.792452830188679,1.23246760092426e-16,3.71280864778433e-14,"Sig","OK",-0.20443282538766,"small",1313.5
"WBGene00009119","ndk-1",1991,52,1062,43,-9,0.826923076923077,1.65265753615102e-15,4.77948559454875e-13,"Sig","OK",-0.229190787257445,"small",1526.5
"WBGene00004446","rpl-32",2937,45,1432,39,-6,0.866666666666667,4.0772335334313e-15,1.11007462432851e-12,"Sig","OK",-0.207952443882031,"small",2184.5
"WBGene00004450","rpl-36",2608,45,1470,38,-7,0.844444444444444,4.1455068958326e-15,1.11007462432851e-12,"Sig","OK",-0.186984339046496,"negligible",2039
"WBGene00000752","col-179",514,47,366,36,-11,0.765957446808511,1.30209384667179e-14,3.36219232551323e-12,"Sig","OK",-0.3558281419437,"small",440
"WBGene00000675","col-101",753,60,762,50,-10,0.833333333333333,6.46460485677171e-14,1.61169286601584e-11,"Sig","OK",-0.310360129078772,"small",757.5
"WBGene00000670","col-95",61,63,391,43,-20,0.682539682539683,8.22736102323116e-14,1.98279400659871e-11,"Sig","OK",-0.674624609837047,"medium",226
"WBGene00004422","rpl-11.1",1791,45,852,38,-7,0.844444444444444,9.69042597849843e-14,2.21904197904579e-11,"Sig","OK",-0.233921130053897,"small",1321.5
"WBGene00004439","rpl-25.2",1630,53,749,44,-9,0.830188679245283,9.82148593768539e-14,2.21904197904579e-11,"Sig","OK",-0.241076895165465,"small",1189.5
"WBGene00004990","spp-5",1013,33,1687,41,8,1.24242424242424,1.24460742850295e-13,2.7268217297201e-11,"Sig","OK",0.240767487268846,"small",1350
"WBGene00000883","cyn-7",1596,69,636,59,-10,0.855072463768116,2.13875405992333e-13,4.54799760389578e-11,"Sig","OK",-0.330807265979117,"small",1116
"WBGene00044638","F23A7.8",1060,20,186,31,11,1.55,3.264751750065e-13,6.74404432941998e-11,"Sig","OK",0.63640142983105,"medium",623
"WBGene00022042","icd-2",992,48,557,38,-10,0.791666666666667,7.58842838016176e-13,1.52400936634915e-10,"Sig","OK",-0.265485379627016,"small",774.5
"WBGene00004435","rpl-23",2645,49,1328,43.5,-5.5,0.887755102040816,1.31016349254235e-12,2.560130284076e-10,"Sig","OK",-0.140308418630349,"negligible",1986.5
"WBGene00010204","F57F5.1",522,59,553,46,-13,0.779661016949153,2.42236683712591e-12,4.6088716401106e-10,"Sig","OK",-0.413866800090321,"small",537.5
"WBGene00014309","F07H5.5",352,81.5,478,66,-15.5,0.809815950920245,3.16664390963059e-12,5.87047063246902e-10,"Sig","OK",-0.486479031847633,"small",415
"WBGene00002978","lev-11",770,69,851,56,-13,0.811594202898551,4.90009727449991e-12,8.85692582365859e-10,"Sig","OK",-0.261003957480804,"small",810.5
"WBGene00006529","tba-2",595,46,494,62,16,1.34782608695652,5.12573480668934e-12,9.03879576886925e-10,"Sig","OK",0.424300364197067,"small",544.5
"WBGene00004486","rps-17",2019,52,1072,45,-7,0.865384615384615,5.64648711077544e-12,9.720024240692e-10,"Sig","OK",-0.187420103400505,"negligible",1545.5
"WBGene00004413","rpl-2",2981,39,1430,35,-4,0.897435897435897,7.5780901700647e-12,1.27417655650158e-09,"Sig","OK",-0.16445696582051,"negligible",2205.5
"WBGene00004495","rps-26",2629,48,1380,42,-6,0.875,8.00111839349859e-12,1.3147292269317e-09,"Sig","OK",-0.162021557630411,"negligible",2004.5
"WBGene00004417","rpl-6",2276,47,1120,41,-6,0.872340425531915,2.04327757889562e-11,3.28286597675896e-09,"Sig","OK",-0.134724045416613,"negligible",1698
"WBGene00004481","rps-12",2818,46,1433,41,-5,0.891304347826087,3.48373637521324e-11,5.47552478104167e-09,"Sig","OK",-0.175889137524756,"negligible",2125.5
"WBGene00011733","T12D8.5",56,128.5,41,57,-71.5,0.443579766536965,5.16002273434701e-11,7.93765199347423e-09,"Sig","OK",-1.72561262701852,"large",48.5
"WBGene00000473","cey-2",1076,56,145,41,-15,0.732142857142857,6.12502294327988e-11,9.22581580831532e-09,"Sig","OK",-0.461191639628987,"small",610.5
"WBGene00000698","col-124",1413,53,536,45,-8,0.849056603773585,7.2377310426714e-11,1.04657590877029e-08,"Sig","OK",-0.217667087117761,"small",974.5
"WBGene00010790","sodh-1",47,105,367,60,-45,0.571428571428571,7.15303439068858e-11,1.04657590877029e-08,"Sig","OK",-0.938354267049874,"large",207
"WBGene00006728","ubq-2",2833,40,1627,36,-4,0.9,8.35073781291917e-11,1.18383988994913e-08,"Sig","OK",-0.154676275547167,"negligible",2230
"WBGene00001971","hmg-1.1",427,53,258,72,19,1.35849056603774,1.2064131800655e-10,1.6773783253603e-08,"Sig","OK",0.387366944569214,"small",342.5
"WBGene00004421","rpl-10",3318,39,1822,36,-3,0.923076923076923,1.39586278264407e-10,1.90416753179559e-08,"Sig","OK",-0.102478924744966,"negligible",2570
"WBGene00004433","rpl-21",2446,41,1236,36,-5,0.878048780487805,1.53705844245705e-10,2.0579504701786e-08,"Sig","OK",-0.155396911513429,"negligible",1841
