"gene_id","symbol","N2_counts","N2_polya_median","FNDC3_counts","FNDC3_polya_median","length_diff","fold_change","p.value","padj","significance","stats_code","cohen_d","effect_size","baseMean"
"WBGene00016636","perm-2",926,88,1046,77,-11,0.875,3.61543860285695e-16,2.88548154894013e-12,"Sig","OK",-0.304109987445624,"small",986
"WBGene00007458","ule-4",689,65,755,54,-11,0.830769230769231,2.28815931141228e-14,9.13089973219069e-11,"Sig","OK",-0.355505889099169,"small",722
"WBGene00012557","Y37D8A.19",445,63,556,54,-9,0.857142857142857,1.0413199253881e-12,2.77025810817414e-09,"Sig","OK",-0.419711798838888,"small",500.5
"WBGene00000713","col-140",2071,49,2492,46,-3,0.938775510204082,3.41197489621009e-11,6.80774291166319e-08,"Sig","OK",-0.195295908116166,"negligible",2281.5
"WBGene00007196","B0513.4",119,98,123,67,-31,0.683673469387755,1.96406176372257e-10,3.13503538725396e-07,"Sig","OK",-0.738047492976993,"medium",121
"WBGene00001386","far-2",3224,68,3725,63,-5,0.926470588235294,1.05552604300234e-09,1.40402555820028e-06,"Sig","OK",-0.160400133256911,"negligible",3474.5
"WBGene00016638","perm-4",830,91,1057,82,-9,0.901098901098901,7.58634162979611e-09,8.64951322105753e-06,"Sig","OK",-0.214167531160312,"small",943.5
"WBGene00006925","vit-1",2754,67,3576,62,-5,0.925373134328358,1.13842795693307e-08,1.0095326138092e-05,"Sig","OK",-0.10152903689499,"negligible",3165
"WBGene00020218","T04G9.7",96,84.5,114,59,-25.5,0.698224852071006,1.10796493029507e-08,1.0095326138092e-05,"Sig","OK",-0.712422750250058,"medium",105
"WBGene00006930","vit-6",5644,72,6769,70,-2,0.972222222222223,1.31092324770921e-08,1.04624784399672e-05,"Sig","OK",-0.0719223528526403,"negligible",6206.5
"WBGene00045394","ZK813.7",331,59,388,49,-10,0.830508474576271,4.58870959291422e-08,3.32931738736804e-05,"Sig","OK",-0.429650117909582,"small",359.5
"WBGene00000693","col-119",2218,52,2862,49,-3,0.942307692307693,2.76197313640022e-07,0.000183694230013418,"Sig","OK",-0.109445193225937,"negligible",2540
"WBGene00015683","C10G8.4",209,70,232,56,-14,0.8,1.12739948408547e-06,0.00069213656019124,"Sig","OK",-0.393257136652901,"small",220.5
"WBGene00000696","col-122",3923,52,4553,50,-2,0.961538461538461,7.5834900248202e-06,0.00426364197766776,"Sig","OK",-0.0890207307866095,"negligible",4238
"WBGene00006927","vit-3",3975,67,5052,64,-3,0.955223880597015,8.01336043917008e-06,0.00426364197766776,"Sig","OK",-0.0981651621593153,"negligible",4513.5
"WBGene00016627","C44B7.5",116,84.5,161,66,-18.5,0.781065088757397,1.40376026314037e-05,0.00700213166257707,"Sig","OK",-0.533079404519839,"medium",138.5
"WBGene00018605","F48E3.4",79,86,102,65.5,-20.5,0.761627906976744,1.64398279250285e-05,0.00771801568645012,"Sig","OK",-0.595454576671705,"medium",90.5
"WBGene00000751","col-178",2510,43,2880,40,-3,0.930232558139535,1.761196247041e-05,0.00780894847090789,"Sig","OK",-0.0982504850336464,"negligible",2695
"WBGene00002064","iff-1",1499,48,1786,45,-3,0.9375,2.89672514497536e-05,0.0121677702010781,"Sig","OK",-0.121163030169233,"negligible",1642.5
"WBGene00010962","ctc-3",2334,38,2610,37,-1,0.973684210526316,3.76254512555669e-05,0.0147140248511106,"Sig","OK",-0.098773630296596,"negligible",2472
"WBGene00006929","vit-5",4446,65,5395,63,-2,0.969230769230769,3.87162663667866e-05,0.0147140248511106,"Sig","OK",-0.0585352425451242,"negligible",4920.5
"WBGene00006541","tbh-1",91,77,110,57.5,-19.5,0.746753246753247,5.11010789468361e-05,0.0185380777761227,"Sig","OK",-0.443624968807281,"small",100.5
"WBGene00017881","asp-13",115,72,135,44,-28,0.611111111111111,5.48415863035287e-05,0.0190300304473245,"Sig","OK",-0.470224223671241,"small",125
"WBGene00013018","Y48G10A.1",61,43,74,70.5,27.5,1.63953488372093,8.38085314110359e-05,0.0267550355676591,"Sig","OK",0.722079740753026,"medium",67.5
"WBGene00006928","vit-4",3712,60,4468,57,-3,0.95,8.23199843176897e-05,0.0267550355676591,"Sig","OK",-0.0746006144681843,"negligible",4090
"WBGene00017648","ddo-3",54,77.5,69,62,-15.5,0.8,9.14696003827598e-05,0.0270377363205484,"Sig","OK",-0.667271226754134,"medium",61.5
"WBGene00016534","C39D10.7",182,78.5,200,62.5,-16,0.796178343949045,8.91713549206403e-05,0.0270377363205484,"Sig","OK",-0.318992088344131,"small",191
"WBGene00007684","C18E9.4",167,63,161,52,-11,0.825396825396826,0.000102468195281157,0.0292070952335327,"Sig","OK",-0.338355740328348,"small",164
"WBGene00000214","asp-1",2925,37,3076,36,-1,0.972972972972973,0.000107088263740301,0.0294714287210809,"Sig","OK",-0.0809189480423574,"negligible",3000.5
"WBGene00011124","sdz-27",38,82,53,54,-28,0.658536585365853,0.000179048346911586,0.0476328285567122,"Sig","OK",-0.906568341059935,"large",45.5
