"gene_id","symbol","N2_counts","N2_polya_median","GLD2_counts","GLD2_polya_median","length_diff","fold_change","p.value","padj","significance","stats_code","cohen_d","effect_size","baseMean"
"WBGene00015102","cpg-2",4843,44,1149,21,-23,0.477272727272727,7.47901034615783e-272,7.00035368400373e-268,"Sig","OK",-0.847214044239812,"large",2996
"WBGene00010351","cbd-1",2274,50,880,21,-29,0.42,5.12912031061131e-207,2.40042830536609e-203,"Sig","OK",-0.964737096601052,"large",1577
"WBGene00000465","cpg-1",3997,45,670,20,-25,0.444444444444444,1.14184772764026e-190,3.5625649102376e-187,"Sig","OK",-1.00524422245831,"large",2333.5
"WBGene00006926","vit-2",8907,73,9045,60,-13,0.821917808219178,8.58847780332511e-185,2.00970380597807e-181,"Sig","OK",-0.323882731466058,"small",8976
"WBGene00000479","cgh-1",2363,78,1453,48,-30,0.615384615384615,4.61597215856505e-179,8.64109988083378e-176,"Sig","OK",-0.94900395480982,"large",1908
"WBGene00007709","clec-87",3332,45,686,19,-26,0.422222222222222,2.89067511877355e-156,4.50945318528674e-153,"Sig","OK",-0.912185380572818,"large",2009
"WBGene00001168","eef-1A.1",33676,54,23198,47,-7,0.87037037037037,7.14464996821821e-150,9.55341767178893e-147,"Sig","OK",-0.164430046968403,"negligible",28437
"WBGene00004078","pos-1",1940,43,531,17,-26,0.395348837209302,4.62387951407031e-144,5.40993903146226e-141,"Sig","OK",-1.06819412555348,"large",1235.5
"WBGene00012615","dct-16",14620,34,10763,44,10,1.29411764705882,1.1779288641377e-136,1.22504601870321e-133,"Sig","OK",0.308901484823306,"small",12691.5
"WBGene00004798","sip-1",3405,47,1583,33,-14,0.702127659574468,1.10989201121316e-104,1.03885892249552e-101,"Sig","OK",-0.482254041526825,"small",2494
"WBGene00003230","mex-5",1050,58,422,25,-33,0.431034482758621,7.75789559832558e-104,6.60126389093886e-101,"Sig","OK",-1.15612869734418,"large",736
"WBGene00008218","nasp-2",948,51,517,23,-28,0.450980392156863,7.92211869302759e-98,6.17925258056152e-95,"Sig","OK",-1.05130833375524,"large",732.5
"WBGene00004374","rme-2",1550,47,452,20,-27,0.425531914893617,2.77684086606417e-95,1.9993254235662e-92,"Sig","OK",-0.942381080603164,"large",1001
"WBGene00004239","puf-3",950,50,301,17,-33,0.34,4.78668196698835e-93,3.2002388007865e-90,"Sig","OK",-1.17553950405673,"large",625.5
"WBGene00004241","puf-5",1390,55,245,22,-33,0.4,1.60481840534996e-91,1.00140668493838e-88,"Sig","OK",-1.32193034771625,"large",817.5
"WBGene00021035","W05F2.3",1436,49,328,18,-31,0.36734693877551,1.05860442928587e-88,6.19283591132236e-86,"Sig","OK",-0.973472019718723,"large",882
"WBGene00022751","msrp-2",509,77,306,33.5,-43.5,0.435064935064935,3.05068504722532e-85,1.67967129658994e-82,"Sig","OK",-1.54346170040802,"large",407.5
"WBGene00000656","col-80",8295,44,5644,54,10,1.22727272727273,2.56334837488531e-84,1.33294115494036e-81,"Sig","OK",0.305615295130121,"small",6969.5
"WBGene00001855","hil-4",2026,41,750,22,-19,0.536585365853659,6.93687480073686e-82,3.41732358604721e-79,"Sig","OK",-0.542628741465789,"medium",1388
"WBGene00022002","Y59E9AR.7",1188,64,762,44,-20,0.6875,1.7446918634778e-78,8.16515792107609e-76,"Sig","OK",-0.678368112912037,"medium",975
"WBGene00003452","msp-59",1352,59,615,37,-22,0.627118644067797,9.88662653178255e-76,4.40661068273737e-73,"Sig","OK",-0.809804115723666,"large",983.5
"WBGene00003426","msp-19",1171,63,444,41,-22,0.650793650793651,2.44358601423466e-70,1.03963477696529e-67,"Sig","OK",-0.919591886175559,"large",807.5
"WBGene00009035","gfat-2",987,49,252,16,-33,0.326530612244898,2.32649270328085e-69,9.46781378378644e-67,"Sig","OK",-0.961100819998642,"large",619.5
"WBGene00004984","spn-4",1621,35,432,20,-15,0.571428571428571,2.71138187984498e-69,1.05743893313954e-66,"Sig","OK",-0.645140358538579,"medium",1026.5
"WBGene00006040","ssp-11",600,70,360,43,-27,0.614285714285714,3.73840634751507e-66,1.39965933650964e-63,"Sig","OK",-0.959914540105545,"large",480
"WBGene00015083","egg-1",941,45,235,17,-28,0.377777777777778,3.76304474575719e-64,1.35469610847259e-61,"Sig","OK",-0.960212528049049,"large",588
"WBGene00000696","col-122",14513,47,9371,52,5,1.1063829787234,4.5938002622149e-63,1.5925174242345e-60,"Sig","OK",0.199225257884947,"negligible",11942
"WBGene00022257","puf-11",792,47,230,16,-31,0.340425531914894,1.86365179264993e-60,6.22992170685834e-58,"Sig","OK",-0.894058444791129,"large",511
"WBGene00020840","spch-3",323,78,372,40,-38,0.512820512820513,3.72108888791815e-59,1.20101351692807e-56,"Sig","OK",-1.36658559440658,"large",347.5
"WBGene00003934","pat-10",5252,44,7802,54,10,1.22727272727273,6.35692666776522e-58,1.98336112034275e-55,"Sig","OK",0.272358508245018,"small",6527
"WBGene00003470","msp-152",1370,51,668,36,-15,0.705882352941177,7.10538000585569e-57,2.14536635015514e-54,"Sig","OK",-0.573767356765287,"medium",1019
"WBGene00003444","msp-51",1257,63,358,42,-21,0.666666666666667,1.41061523522931e-56,4.12604956304573e-54,"Sig","OK",-0.869721176620548,"large",807.5
"WBGene00003955","pcn-1",1278,55,463,33,-22,0.6,1.70237452779191e-56,4.8285532061007e-54,"Sig","OK",-0.64516980875715,"medium",870.5
"WBGene00001607","gln-6",1400,44,396,23,-21,0.522727272727273,5.57378352327431e-55,1.53442981699552e-52,"Sig","OK",-0.610163955520897,"medium",898
"WBGene00003468","msp-113",1294,60,366,39,-21,0.65,8.45338774292794e-55,2.26067740782301e-52,"Sig","OK",-0.854687529344366,"large",830
"WBGene00016178","mesp-1",1409,40,287,17,-23,0.425,4.49328068445974e-54,1.16825297795953e-51,"Sig","OK",-0.682063617816678,"medium",848
"WBGene00003432","msp-36",1072,54,346,35,-19,0.648148148148148,1.25343403802851e-53,3.1708493502559e-51,"Sig","OK",-0.706293844343585,"medium",709
"WBGene00021398","Y38C1AA.7",343,76,334,43,-33,0.565789473684211,5.2648839935983e-53,1.29682405737053e-50,"Sig","OK",-1.2316390786693,"large",338.5
"WBGene00016447","msd-4",662,69,247,40,-29,0.579710144927536,6.09721499732444e-52,1.46333159935787e-49,"Sig","OK",-0.93591847011343,"large",454.5
"WBGene00000754","col-181",11258,49,7309,55,6,1.12244897959184,4.19283332049439e-51,9.81122996995688e-49,"Sig","OK",0.207503536871845,"small",9283.5
"WBGene00000868","cyb-3",1740,46,378,26,-20,0.565217391304348,1.01238700055318e-49,2.3112054451653e-47,"Sig","OK",-0.575653016804528,"medium",1059
"WBGene00000776","cpl-1",6315,56,3195,72,16,1.28571428571429,1.19137097708021e-49,2.65505532035017e-47,"Sig","OK",0.313625926977918,"small",4755
"WBGene00009186","trcs-1",926,42,175,18,-24,0.428571428571428,3.93068954839477e-49,8.5561056216221e-47,"Sig","OK",-0.809259075475752,"large",550.5
"WBGene00017506","F16B4.4",1106,32,1710,54,22,1.6875,5.36732303368422e-49,1.14177599080192e-46,"Sig","OK",0.499083933908095,"small",1408
"WBGene00003231","mex-6",442,57,182,23,-34,0.403508771929824,3.34010157674388e-47,6.94741127962726e-45,"Sig","OK",-1.30561784825316,"large",312
"WBGene00003450","msp-57",1087,60,383,43,-17,0.716666666666667,1.08203274581039e-45,2.20170141321417e-43,"Sig","OK",-0.753221668631051,"medium",735
"WBGene00022754","nspd-1",387,61,196,32,-29,0.524590163934426,1.40299350281925e-44,2.79404663540174e-42,"Sig","OK",-1.1941282899722,"large",291.5
"WBGene00000867","cyb-2.2",458,47,170,19,-28,0.404255319148936,5.61414878339334e-44,1.0947590127617e-41,"Sig","OK",-1.00396155162525,"large",314
"WBGene00003438","msp-45",978,51,368,35,-16,0.686274509803922,1.0497385845759e-43,2.00521492890416e-41,"Sig","OK",-0.703528422598653,"medium",673
"WBGene00004435","rpl-23",9426,46,11463,40,-6,0.869565217391304,2.06872803849223e-43,3.87265888805746e-41,"Sig","OK",-0.110778575801792,"negligible",10444.5
"WBGene00003864","oma-1",477,56,193,27,-29,0.482142857142857,6.00848269118437e-43,1.10273329391148e-40,"Sig","OK",-1.03193815819439,"large",335
"WBGene00006038","ssp-9",395,71,333,43,-28,0.605633802816901,1.36078652734958e-42,2.44941574922925e-40,"Sig","OK",-1.04735428503,"large",364
"WBGene00004474","rps-5",14036,38,9895,34,-4,0.894736842105263,2.02186668979507e-42,3.57069287103431e-40,"Sig","OK",-0.033365676676145,"negligible",11965.5
"WBGene00003865","oma-2",1060,43,245,22,-21,0.511627906976744,6.80920283869515e-42,1.18026182537383e-39,"Sig","OK",-0.770773799306881,"medium",652.5
"WBGene00015312","C01G8.1",911,49,184,22,-27,0.448979591836735,1.30497080573621e-40,2.22082304394381e-38,"Sig","OK",-0.786205227941831,"medium",547.5
"WBGene00044272","nspa-4",316,68,332,44,-24,0.647058823529412,3.99938619334165e-39,6.68468835172818e-37,"Sig","OK",-0.885715623813243,"large",324
"WBGene00017386","nspd-5",391,59,368,40,-19,0.677966101694915,7.85916515933374e-39,1.29055764721691e-36,"Sig","OK",-0.923041448811798,"large",379.5
"WBGene00010633","nspd-2",490,56,128,31.5,-24.5,0.5625,1.34877954562085e-38,2.17665112879503e-36,"Sig","OK",-1.32482958008979,"large",309
"WBGene00004408","rla-0",11477,54,16659,58,4,1.07407407407407,1.52238543939665e-38,2.41517418860214e-36,"Sig","OK",0.134402249986623,"negligible",14068
"WBGene00004436","rpl-24.1",9582,42,10545,37,-5,0.880952380952381,9.63435516111977e-38,1.50295940513468e-35,"Sig","OK",-0.0519023202132154,"negligible",10063.5
"WBGene00003463","msp-76",776,63,271,41,-22,0.650793650793651,1.34549858511379e-37,2.06456832076477e-35,"Sig","OK",-0.615557305173315,"medium",523.5
"WBGene00016658","C45B2.1",2948,40,2223,49,9,1.225,1.48086945868391e-37,2.23563518278733e-35,"Sig","OK",0.374317781621114,"small",2585.5
"WBGene00011501","rmd-1",1419,46,281,26,-20,0.565217391304348,1.94395340660806e-37,2.88815934696055e-35,"Sig","OK",-0.514709455660163,"medium",850
"WBGene00020588","T19H12.2",1604,37,390,24,-13,0.648648648648649,2.62107097197812e-37,3.833316296518e-35,"Sig","OK",-0.551612310564444,"medium",997
"WBGene00009119","ndk-1",10612,50,7286,45,-5,0.9,2.67004851332859e-37,3.84486985919316e-35,"Sig","OK",-0.103468896247775,"negligible",8949
"WBGene00004478","rps-9",16788,40,13198,37,-3,0.925,5.22466991997203e-37,7.40953188650579e-35,"Sig","OK",-0.0369401062137345,"negligible",14993
"WBGene00001606","gln-5",635,46,161,20,-26,0.434782608695652,8.05488001188531e-36,1.12527875986935e-33,"Sig","OK",-0.809478603311956,"large",398
"WBGene00017548","F18A1.7",864,40,224,20,-20,0.5,9.60684825593475e-36,1.32235440699337e-33,"Sig","OK",-0.52560029817229,"medium",544
"WBGene00004990","spp-5",3711,33,4971,38,5,1.15151515151515,1.00326955226663e-35,1.36095695785734e-33,"Sig","OK",0.290336305570363,"small",4341
"WBGene00015698","kca-1",486,38,158,16.5,-21.5,0.434210526315789,1.07066734759533e-35,1.43163519621318e-33,"Sig","OK",-0.946775388094148,"large",322
"WBGene00004428","rpl-16",14401,40,10174,36,-4,0.9,1.23000354803903e-35,1.6215258041754e-33,"Sig","OK",-0.0303936837200393,"negligible",12287.5
"WBGene00004420","rpl-9",11340,40,10228,36,-4,0.9,1.79527284950779e-35,2.33385470436012e-33,"Sig","OK",-0.062199387716501,"negligible",10784
"WBGene00004494","rps-25",18625,38,17467,35,-3,0.921052631578947,2.91120530356908e-35,3.73272351252144e-33,"Sig","OK",-0.0313411930451849,"negligible",18046
"WBGene00003446","msp-53",1097,54,342,37,-17,0.685185185185185,6.96303513995111e-35,8.80729850134357e-33,"Sig","OK",-0.705089119188586,"medium",719.5
"WBGene00004429","rpl-17",14154,38,11560,34,-4,0.894736842105263,8.5314843368334e-35,1.06472924523681e-32,"Sig","OK",-0.0419111635834407,"negligible",12857
"WBGene00004495","rps-26",6239,43,11672,38,-5,0.883720930232558,1.9141634066125e-34,2.35744335340698e-32,"Sig","OK",-0.0770758975183657,"negligible",8955.5
"WBGene00003464","msp-77",703,56,230,38,-18,0.678571428571429,3.46032870222379e-34,4.20632164322268e-32,"Sig","OK",-0.824736131228883,"large",466.5
"WBGene00007332","C05C10.5",723,55,174,24,-31,0.436363636363636,3.67008397267547e-34,4.39995439814149e-32,"Sig","OK",-0.943765479811496,"large",448.5
"WBGene00011156","rbm-3.2",8342,40,5785,36,-4,0.9,3.71363672492711e-34,4.39995439814149e-32,"Sig","OK",-0.0822652178781487,"negligible",7063.5
"WBGene00017691","ilys-5",5512,41,4327,47,6,1.14634146341463,4.30689293472989e-34,5.03906473363398e-32,"Sig","OK",0.28465952912013,"small",4919.5
"WBGene00002073","ima-2",1076,53,380,30.5,-22.5,0.575471698113208,7.46770687409333e-34,8.62935016561896e-32,"Sig","OK",-0.512723140870378,"medium",728
"WBGene00011320","T01C3.3",783,39,170,17,-22,0.435897435897436,1.01201826034889e-33,1.15518181912996e-31,"Sig","OK",-0.55644428867644,"medium",476.5
"WBGene00003457","msp-64",888,47,221,31,-16,0.659574468085106,5.06802131471554e-33,5.7152625910527e-31,"Sig","OK",-0.754592440113203,"medium",554.5
"WBGene00004483","rps-14",10180,36,12217,33,-3,0.916666666666667,6.07201666266578e-33,6.7659614241133e-31,"Sig","OK",-0.0438046680759235,"negligible",11198.5
"WBGene00000067","act-5",2294,48,2647,60,12,1.25,8.09355204597533e-33,8.80879618027082e-31,"Sig","OK",0.285869906912624,"small",2470.5
"WBGene00006930","vit-6",10016,66,10806,62,-4,0.939393939393939,8.03182528181577e-33,8.80879618027082e-31,"Sig","OK",-0.113487028002937,"negligible",10411
"WBGene00006051","ssq-2",375,80,215,49,-31,0.6125,1.8603649663022e-32,2.00149610167685e-30,"Sig","OK",-1.01033904701753,"large",295
"WBGene00004410","rla-2",5635,41,9190,36,-5,0.878048780487805,2.15288482692225e-31,2.28988658863548e-29,"Sig","OK",-0.0723169573018959,"negligible",7412.5
"WBGene00004418","rpl-7",10054,46,10280,41,-5,0.891304347826087,7.01559063674279e-31,7.37819419774298e-29,"Sig","OK",-0.0689496680818334,"negligible",10167
"WBGene00004453","rpl-39",2791,43,9089,38,-5,0.883720930232558,1.00035803843143e-30,1.04037235996869e-28,"Sig","OK",-0.139009634702787,"negligible",5940
"WBGene00004415","rpl-4",15528,40,10896,36,-4,0.9,1.20668756981025e-30,1.24116435751912e-28,"Sig","OK",-0.0426357468525379,"negligible",13212
"WBGene00001595","gld-1",1191,54,263,33,-21,0.611111111111111,5.0553079832164e-30,5.14322638292452e-28,"Sig","OK",-0.600745292499717,"medium",727
"WBGene00020715","nspd-4",172,63,138,26,-37,0.412698412698413,5.57899060236635e-30,5.61498409012355e-28,"Sig","OK",-1.45129646320085,"large",155
"WBGene00002226","klp-16",410,41,176,17,-24,0.414634146341463,1.24641995213636e-29,1.24111603744642e-27,"Sig","OK",-0.655233051895988,"medium",293
"WBGene00004426","rpl-14",10350,38,10391,35,-3,0.921052631578947,3.36342788930947e-29,3.31386158357228e-27,"Sig","OK",-0.0289808897832185,"negligible",10370.5
"WBGene00002225","klp-15",464,38.5,189,16,-22.5,0.415584415584416,4.37628919314611e-29,4.26688196331746e-27,"Sig","OK",-0.757142605865636,"medium",326.5
"WBGene00000693","col-119",8062,50,5265,53,3,1.06,7.18445097862524e-29,6.93262486184868e-27,"Sig","OK",0.167268636007114,"negligible",6663.5
"WBGene00000609","col-20",7411,49,4526,54,5,1.10204081632653,1.62361443040436e-28,1.55071745597805e-26,"Sig","OK",0.178088495034132,"negligible",5968.5
"WBGene00010621","egg-6",386,50,139,20,-30,0.4,3.22229742919318e-28,3.01607039372482e-26,"Sig","OK",-0.888662153962009,"large",262.5
"WBGene00020948","era-1",690,43,142,19,-24,0.441860465116279,3.19577691082362e-28,3.01607039372482e-26,"Sig","OK",-0.749545776868235,"medium",416
"WBGene00004456","rpl-43",7428,35,10987,32,-3,0.914285714285714,7.31516145876626e-28,6.77919913406457e-26,"Sig","OK",-0.0182155435633118,"negligible",9207.5
"WBGene00020684","T22D1.5",698,40,217,21,-19,0.525,9.84277136891554e-28,9.03219019735779e-26,"Sig","OK",-0.584922932081656,"medium",457.5
"WBGene00006764","unc-27",1835,53,2760,66,13,1.24528301886792,1.084335917333e-26,9.85377105459889e-25,"Sig","OK",0.306874689888179,"small",2297.5
"WBGene00006727","ubq-1",1606,40,1404,28,-12,0.7,2.06379338564215e-26,1.85741404707794e-24,"Sig","OK",-0.121247794459995,"negligible",1505
"WBGene00003228","mex-1",293,52,133,23,-29,0.442307692307692,4.17970569126594e-26,3.72590907335706e-24,"Sig","OK",-0.990549423302368,"large",213
"WBGene00022245","acp-6",713,50,1621,69,19,1.38,1.03289493024877e-25,9.12065711993253e-24,"Sig","OK",0.402741590576374,"small",1167
"WBGene00019606","clec-88",770,49,145,26,-23,0.530612244897959,1.11915411944403e-25,9.78998369906181e-24,"Sig","OK",-0.826535332491002,"large",457.5
"WBGene00002258","lbp-6",1340,33,1634,44,11,1.33333333333333,1.53154646150587e-25,1.32734026663842e-23,"Sig","OK",0.415218529206191,"small",1487
"WBGene00003448","msp-55",437,65,210,46,-19,0.707692307692308,1.95370791168055e-25,1.67767945443394e-23,"Sig","OK",-0.735617588151759,"medium",323.5
"WBGene00016351","C33F10.1",118,119,86,46,-73,0.38655462184874,3.65763657516285e-25,3.11231621304766e-23,"Sig","OK",-2.00460538819461,"large",102
"WBGene00004441","rpl-27",4493,40,11443,35,-5,0.875,4.68767959206878e-25,3.95285414250125e-23,"Sig","OK",-0.0933297245188677,"negligible",7968
"WBGene00001501","ftn-2",1658,53,1730,73,20,1.37735849056604,4.87612984119883e-25,4.07505136728759e-23,"Sig","OK",0.374803655994316,"small",1694
"WBGene00019322","ahcy-1",4124,63,3207,53,-10,0.841269841269841,6.27881554708309e-25,5.20085960360157e-23,"Sig","OK",-0.233269350413516,"small",3665.5
"WBGene00004489","rps-20",7555,45,9764,41,-4,0.911111111111111,8.84236113552685e-25,7.26004387969573e-23,"Sig","OK",-0.0672259070235746,"negligible",8659.5
"WBGene00006959","xbp-1",387,50,391,95,45,1.9,1.31473401437742e-24,1.07007916300631e-22,"Sig","OK",0.752549671699312,"medium",389
"WBGene00016594","C42D4.1",331,46,712,78,32,1.69565217391304,1.70700811184481e-24,1.37737895921271e-22,"Sig","OK",0.662207604206463,"medium",521.5
"WBGene00008780","hxk-1",495,42,143,19,-23,0.452380952380952,2.37375699312381e-24,1.89900559449905e-22,"Sig","OK",-0.56910940560607,"medium",319
"WBGene00007301","C04F12.7",115,116,110,55.5,-60.5,0.478448275862069,2.62455916113174e-24,2.08185370747399e-22,"Sig","OK",-1.72214771166926,"large",112.5
"WBGene00004446","rpl-32",7890,39,11965,35,-4,0.897435897435897,3.14769455913931e-24,2.45520175612866e-22,"Sig","OK",-0.0640445129645338,"negligible",9927.5
"WBGene00004476","rps-7",14119,36,11327,33,-3,0.916666666666667,3.13262312004051e-24,2.45520175612866e-22,"Sig","OK",-0.00802351038178204,"negligible",12723
"WBGene00000066","act-4",4920,60,5504,66,6,1.1,3.85385840472171e-24,2.98116650150373e-22,"Sig","OK",0.194942984795227,"negligible",5212
"WBGene00016752","C48E7.7",170,108,71,46,-62,0.425925925925926,5.26449293388665e-24,4.03898802140812e-22,"Sig","OK",-1.72713642875626,"large",120.5
"WBGene00000866","cyb-2.1",252,44,95,17,-27,0.386363636363636,8.96739522990882e-24,6.82396905300379e-22,"Sig","OK",-1.0858728678089,"large",173.5
"WBGene00004132","ifet-1",333,81,300,52,-29,0.641975308641975,1.14715910070067e-23,8.65920095367603e-22,"Sig","OK",-0.688512515124216,"medium",316.5
"WBGene00043147","nspd-6",115,64,254,35,-29,0.546875,1.21796702685183e-23,9.12013709706652e-22,"Sig","OK",-1.17602400256445,"large",184.5
"WBGene00000675","col-101",3953,56,2437,64,8,1.14285714285714,1.57476567625673e-23,1.16982593093357e-21,"Sig","OK",0.244591109459718,"small",3195
"WBGene00002269","lec-6",2144,50,2113,67,17,1.34,1.61765143475758e-23,1.19222184482921e-21,"Sig","OK",0.287557032366161,"small",2128.5
"WBGene00004243","puf-7",617,59,99,24,-35,0.406779661016949,2.16480109558565e-23,1.58301080114701e-21,"Sig","OK",-0.818668461029432,"large",358
"WBGene00003989","pfn-1",1295,74,780,59,-15,0.797297297297297,2.24002810804941e-23,1.62532272025911e-21,"Sig","OK",-0.325903997430298,"small",1037.5
"WBGene00003443","msp-50",823,53,270,37,-16,0.69811320754717,3.84796317203489e-23,2.77053348386512e-21,"Sig","OK",-0.546887006984115,"medium",546.5
"WBGene00001386","far-2",7764,59,15177,56,-3,0.949152542372881,9.12558748736312e-23,6.52026709020754e-21,"Sig","OK",-0.0871934067428093,"negligible",11470.5
"WBGene00016058","nspd-3",506,58,116,36,-22,0.620689655172414,1.06790020771562e-22,7.57238329107442e-21,"Sig","OK",-0.898475951479553,"large",311
"WBGene00020652","egg-4",310,37,179,19,-18,0.513513513513513,1.17918094533123e-22,8.29859672804532e-21,"Sig","OK",-0.610875057982794,"medium",244.5
"WBGene00016263","C30F12.4",310,41,117,20,-21,0.48780487804878,1.70557842445183e-22,1.1913592576768e-20,"Sig","OK",-0.812586392940811,"large",213.5
"WBGene00004416","rpl-5",14650,41,9266,38,-3,0.926829268292683,1.98661864434945e-22,1.37738892674895e-20,"Sig","OK",-0.0409827641815554,"negligible",11958
"WBGene00021470","tpxl-1",419,54,221,30,-24,0.555555555555556,2.18587946669697e-22,1.50439939766792e-20,"Sig","OK",-0.49407196645017,"small",320
"WBGene00007307","spch-1",286,57,315,38,-19,0.666666666666667,2.94551255320948e-22,2.01240857649932e-20,"Sig","OK",-0.639925546223322,"medium",300.5
"WBGene00003370","mlc-2",2257,55,4461,64,9,1.16363636363636,3.91269959843317e-22,2.65383103198076e-20,"Sig","OK",0.248274696661453,"small",3359
"WBGene00001243","elo-5",857,35,905,54,19,1.54285714285714,5.69140229901196e-22,3.83248385026992e-20,"Sig","OK",0.420111631891997,"small",881
"WBGene00012140","T28F4.5",336,77,895,119,42,1.54545454545454,6.60827181944746e-22,4.4181017307163e-20,"Sig","OK",0.623638276905899,"medium",615.5
"WBGene00003159","mcm-7",667,49,258,31,-18,0.63265306122449,7.48761900733099e-22,4.9705045325261e-20,"Sig","OK",-0.454580732107676,"small",462.5
"WBGene00004480","rps-11",13489,39,12235,36,-3,0.923076923076923,7.98737473797588e-22,5.26491743291931e-20,"Sig","OK",-0.0179373593602,"negligible",12862
"WBGene00012879","fbxa-215",213,45,118,23.5,-21.5,0.522222222222222,8.6601931100447e-22,5.66849003566562e-20,"Sig","OK",-0.882552927837452,"large",165.5
"WBGene00018811","pmt-2",1777,47,1608,60,13,1.27659574468085,8.86242163184883e-22,5.76057406070174e-20,"Sig","OK",0.332090207972803,"small",1692.5
"WBGene00000098","air-1",429,49,249,30,-19,0.612244897959184,1.57024054676088e-21,1.01361734604702e-19,"Sig","OK",-0.457540996565718,"small",339
"WBGene00001244","elo-6",361,40,1685,64,24,1.6,2.59929931927219e-21,1.65506405635291e-19,"Sig","OK",0.478842161277383,"small",1023
"WBGene00004447","rpl-33",9641,45,8600,41,-4,0.911111111111111,2.59190745769186e-21,1.65506405635291e-19,"Sig","OK",-0.0400752659492675,"negligible",9120.5
"WBGene00000751","col-178",10491,41,6022,44,3,1.07317073170732,2.81321776807639e-21,1.77917015602669e-19,"Sig","OK",0.164951804276397,"negligible",8256.5
