"gene_id","symbol","GLD4_counts","GLD4_polya_median","N2_counts","N2_polya_median","length_diff","fold_change","p.value","padj","significance","stats_code","cohen_d","effect_size","baseMean"
"WBGene00001168","eef-1A.1",28874,40,33676,54,-14,0.740740740740741,0,0,"Sig","OK",-0.408276385089742,"small",31275
"WBGene00009119","ndk-1",9199,39,10612,50,-11,0.78,1.80192807106404e-271,8.29247298303672e-268,"Sig","OK",-0.391957339820409,"small",9905.5
"WBGene00004428","rpl-16",12599,33,14401,40,-7,0.825,1.69143725275638e-226,5.18932949145657e-223,"Sig","OK",-0.273102349773335,"small",13500
"WBGene00004439","rpl-25.2",6950,36,6709,47,-11,0.765957446808511,3.57500702800929e-212,8.22609117144938e-209,"Sig","OK",-0.371540612066183,"small",6829.5
"WBGene00004492","rps-23",9040,37,9239,46,-9,0.804347826086957,3.53069270948522e-198,6.49929913962039e-195,"Sig","OK",-0.322635461952149,"small",9139.5
"WBGene00004478","rps-9",14397,34,16788,40,-6,0.85,8.13674057023227e-197,1.24817600347363e-193,"Sig","OK",-0.220538350037046,"small",15592.5
"WBGene00004494","rps-25",17835,33,18625,38,-5,0.868421052631579,7.82731114831855e-189,1.0291795972732e-185,"Sig","OK",-0.230415237527849,"small",18230
"WBGene00004420","rpl-9",9914,34,11340,40,-6,0.85,1.07052455732398e-177,1.23163850320124e-174,"Sig","OK",-0.264703195855792,"small",10627
"WBGene00004435","rpl-23",9161,37,9426,46,-9,0.804347826086957,1.659981513244e-177,1.69760776087753e-174,"Sig","OK",-0.327370778366887,"small",9293.5
"WBGene00004415","rpl-4",13171,34,15528,40,-6,0.85,1.49146007981598e-166,1.37273985746262e-163,"Sig","OK",-0.232815882588519,"small",14349.5
"WBGene00004473","rps-4",12400,37,13225,45,-8,0.822222222222222,2.88173599548101e-166,2.41122710021884e-163,"Sig","OK",-0.223311351676812,"small",12812.5
"WBGene00004418","rpl-7",9692,37,10054,46,-9,0.804347826086957,6.88043292900956e-165,5.27729205655033e-162,"Sig","OK",-0.284345609687699,"small",9873
"WBGene00011156","rbm-3.2",7461,33,8342,40,-7,0.825,3.90836679704656e-163,2.76712369230896e-160,"Sig","OK",-0.280951235192843,"small",7901.5
"WBGene00004476","rps-7",12272,31,14119,36,-5,0.861111111111111,4.35768200679831e-156,2.8648646564694e-153,"Sig","OK",-0.209466197072571,"small",13195.5
"WBGene00004481","rps-12",13105,36,14910,42,-6,0.857142857142857,1.46273001066401e-151,8.97531134543435e-149,"Sig","OK",-0.232505481259383,"small",14007.5
"WBGene00004431","rpl-19",13896,34,15986,39,-5,0.871794871794872,9.54251065660445e-151,5.48932925521171e-148,"Sig","OK",-0.182418414305262,"negligible",14941
