"gene_id","symbol","N2_counts","N2_polya_median","NSPC_counts","NSPC_polya_median","length_diff","fold_change","p.value","padj","significance","stats_code","cohen_d","effect_size","baseMean"
"WBGene00002017","hsp-16.11",371,113,321,135,22,1.19469026548673,2.97654007942304e-14,1.40557212203872e-10,"Sig","OK",-0.488000295254582,"small",346
"WBGene00000703","col-129",1682,47,1437,55,8,1.17021276595745,3.79320502506738e-14,1.40557212203872e-10,"Sig","OK",-0.255737554705498,"small",1559.5
"WBGene00000696","col-122",2915,51,2480,54,3,1.05882352941176,2.59256396873379e-09,6.40449719076204e-06,"Sig","OK",-0.138570832981131,"negligible",2697.5
"WBGene00000608","col-19",913,48,520,55,7,1.14583333333333,3.9948302112527e-08,7.40142167389844e-05,"Sig","OK",-0.227924889674954,"small",716.5
"WBGene00002020","hsp-16.49",210,111,213,132,21,1.18918918918919,6.49664701472251e-08,9.62933020522171e-05,"Sig","OK",-0.427547502078507,"small",211.5
"WBGene00009691","F44E5.4",92,72,141,107,35,1.48611111111111,1.36928340417398e-07,0.000169129321805556,"Sig","OK",-0.554988417990416,"medium",116.5
"WBGene00000698","col-124",1413,53,918,60,7,1.13207547169811,2.0788731443541e-07,0.000220093269611546,"Sig","OK",-0.193842036229674,"negligible",1165.5
"WBGene00000716","col-143",925,51,789,57,6,1.11764705882353,5.05895817065666e-07,0.000416577100030406,"Sig","OK",-0.259665661229523,"small",857
"WBGene00000668","col-93",1822,39,1362,42,3,1.07692307692308,4.91582334840272e-07,0.000416577100030406,"Sig","OK",-0.163308338201018,"negligible",1592
"WBGene00001168","eef-1A.1",7360,54,5610,55,1,1.01851851851852,7.23516161381794e-07,0.000536197827200048,"Sig","OK",-0.104331661585748,"negligible",6485
"WBGene00000597","col-8",488,47,266,56,9,1.19148936170213,2.06862963187409e-06,0.00139369220016535,"Sig","OK",-0.336446826045497,"small",377
