"gene_id","symbol","N2_counts","N2_polya_median","TENT_counts","TENT_polya_median","length_diff","fold_change","p.value","padj","significance","stats_code","cohen_d","effect_size","baseMean"
"WBGene00018601","F48C1.9",12,70,14,27,-43,0.385714285714286,0.000423374073054083,0.0149885787608073,"Sig","OK",2.01372364699249,"large",13
"WBGene00219216","K08D10.14",31,71,12,30,-41,0.422535211267606,0.000408258732009292,0.0145021199417442,"Sig","OK",0.893325823993719,"large",21.5
"WBGene00044357","nspc-6",52,78.5,25,38,-40.5,0.484076433121019,7.14492572132076e-05,0.00324909337758336,"Sig","OK",1.03875550116955,"large",38.5
"WBGene00044337","nspc-2",76,68.5,27,32,-36.5,0.467153284671533,3.17591036669321e-08,2.74638150562405e-06,"Sig","OK",1.17940135373326,"large",51.5
"WBGene00044339","nspc-4",93,62,16,29.5,-32.5,0.475806451612903,4.89025893905926e-06,0.000288224758698744,"Sig","OK",0.842384932580352,"large",54.5
"WBGene00044340","nspc-5",36,74,25,42,-32,0.567567567567568,8.20581535289757e-05,0.00366827762597751,"Sig","OK",0.974847380838665,"large",30.5
"WBGene00009638","nspc-14",323,61,94,31,-30,0.508196721311475,5.79263819920427e-22,1.79742155887074e-19,"Sig","OK",1.11604237316717,"large",208.5
"WBGene00009634","nspc-9",252,74,163,46,-28,0.621621621621622,1.74389712616696e-25,7.07619795425438e-23,"Sig","OK",0.923102631026403,"large",207.5
"WBGene00009639","nspc-15",129,64,50,37.5,-26.5,0.5859375,1.56024321491654e-08,1.41901430322151e-06,"Sig","OK",0.799029207099917,"medium",89.5
"WBGene00009640","nspc-10",246,67,124,41,-26,0.611940298507463,1.01289604939316e-20,2.88812251921562e-18,"Sig","OK",1.05534416988409,"large",185
"WBGene00015392","nspc-7",193,71,66,45.5,-25.5,0.640845070422535,6.82334337802745e-09,6.60424519616418e-07,"Sig","OK",0.880680276327047,"large",129.5
